"","MLS # Link","St","Area","Address","Subdivision/Complex","","List Price","Sale Price","#Beds","#FBaths","#HBaths","SqFt LA","Type of Property","Year Built","#Garage Spaces","Pool YN","Waterfront Property (Y/N)","Design","Lot SqFt"
"1","F10525542","W","3800","511 SE 5th Avenue Unit#1621","NURIVER LANDING CONDO NURIVER LANDING CONDO","","$599,990","","2","2","0","1,246","Condo","2006","1","","Yes","",""
"1","A11967397","W","3280","155 Isle Of Venice Dr Unit#701","VENICE ISLE TOWER CONDO VENICE ISLE TOWER CONDO","","$579,900","","2","2","0","¤940","Condo","1974","1","","Yes","",""
"1","F10543990","W","3280","350 SE 2nd Street Unit#1260","350 las olas place 350 las olas place","","$579,000","","2","2","0","1,200","Condo","2005","1","","No","",""
"1","F10463926","W","3160","2110 N Ocean Boulevard Unit#5A","The Palms The Palms","","$569,000","","1","1","0","775","Condo","2001","1","","Yes","",""
"1","B26000383","W","3170","2000 S Ocean Drive Unit#804","EVERGLADES HOUSE CONDO ","","$549,900","","1","2","0","1,068","Condo","1965","","No","Yes","Other, Patio/Cluster, Substantially Remodeled","0"
"1","F10519668","W","3280","2500 E Las Olas Boulevard Unit#508","Marine Tower Marine Tower","","$549,000","","3","2","1","1,706","Condo","1969","1","","No","",""
"1","F10533768","W","3170","3000 Holiday Drive Unit#1104","Maya Marca Condominium Ap Maya Marca Condominium Ap","","$539,000","","1","1","1","1,060","Condo","1966","1","","No","","0"
"1","F10500241","W","3500","600 W Las Olas Boulevard Unit#1109","Symphony Symphony","","$529,900","","2","2","0","1,093","Condo","2005","1","","Yes","",""
"1","B26017973","W","3280","333 Sunset Drive Unit#104","FOUR SEASONS CONDO ","","$525,000","","2","1","1","1,402","Condo","1959","","No","Yes","","0"
"1","B26020634","W","3380","1044 NE 18th Avenue Unit#203","GALLERIA LOFTS CONDO ","","$520,000","","2","2","0","1,553","Condo","2018","","No","No","","0"
"1","F10550365","W","3370","2633 NE 14th Avenue Unit#111","Wilton Station Wilton Station","","$499,900","","2","2","1","1,738","Townhouse","2005","1","","Yes","",""
"1","B26052116","W","","1212 SE 2nd Court Unit#402","LAS OLAS MANOR 2 CONDO ","","$495,000","","2","2","0","1,306","Condo","1975","","No","No","Substantially Remodeled","0"
"1","A11928572","W","3490","931 SW 29th St","OAK GROVE ","","$495,000","","2","1","","¤1,292","Single","1957","0","No","No","Detached","¤6,722"
"1","F10534258","W","3260","1839 Middle River Drive Unit#503","Rivers Bend Rivers Bend","","$475,000","","2","2","0","1,196","Condo","1972","1","","Yes","","0"
"1","A11992095","W","3500","401 SW 4th Ave Unit#203","ESPLANADE ON THE NEW RIVE Esplanade on The NewRiver","","$475,000","","1","1","1","¤1,069","Condo","2004","1","","Yes","",""
"1","F10507763","W","3280","347 N New River Drive Unit#706","Watergarden Condo Watergarden Condo","","$469,999","","1","1","0","820","Condo","2004","1","","Yes","",""
"1","F10521622","W","3160","741 Bayshore Drive Unit#32N","Holiday Isle Yacht Club Holiday Isle Yacht Club","","$459,000","","1","1","0","563","Condo","1950","0","","Yes","",""
"1","B26000917","W","3390","1132 NW 7th Terrace","PROGRESSO ","","$459,000","","2","1","0","884","Single","1951","","No","No","Substantially Remodeled","6,748"
"1","F10550962","W","3500","610 W Las Olas Boulevard Unit#514","SYMPHONY CONDOMINUM SYMPHONY CONDOMINUM","","$459,000","","2","2","0","1,000","Condo","2005","1","","Yes","",""
"1","F10523622","W","3600","1600 SE 15th Street Unit#514","PLAZA 15 CONDO PLAZA 15 CONDO","","$449,999","","2","2","0","1,020","Condo","1973","1","","Yes","",""
"1","A11964657","W","3380","1953 NE 15th Ave","RESUBDIVISION OF LINDA TE Edgewater Townhomes","","$439,900","","2","2","0","¤1,056","Townhouse","1988","0","","No","",""
"1","B26025786","W","3600","2125 SE 10th Avenue","VILLAGE EAST CONDO ","","$435,000","","2","2","0","1,054","Condo","2000","1","No","No","Other","0"
"1","A11844687","W","3160","3400 NE 25th St","LAUDERDALE BEACH ","","$430,000","","4","4","0","¤3,039","Single","2020","2","Yes","No","Detached","¤6,232"
"1","B26018979","W","3470","370 SW 14 Avenue","VILLAGE AT SAILBOAT BEND ","","$425,000","","2","2","1","1,679","Condo","2005","","No","No","","0"
"1","R11143505","W","3160","550 Bayshore Drive Unit#506","BAYSHORE EMBASSY CONDO ","","$419,000","","2","2","0","1,100","Condo","1971","0","No","No","High Rise",""
"1","R11163460","W","3270","533 NE 3rd Avenue Unit#443","SOLE AT FORT LAUDERDALE CO ","","$415,000","","2","2","0","1,129","Condo","2006","1","No","No","",""
"1","A11941594","W","3800","520 SE 5th Ave Unit#2512","LAS OLAS BY THE RIVER CON LAS OLAS BY THE RIVER","","$409,000","","2","2","0","¤1,148","Condo","2006","1","","No","",""
"1","B26029338","W","3400","1307 NW 15th Place","LAUDERDALE VILLAS ","","$405,000","","3","2","0","1,872","Single","1952","2","Yes","No","","9,514"
"1","B26002683","W","3600","700 SE 14th Street Unit#I","SOUTHPORT TOWNHOMES 3 COND ","","$400,000","","2","2","1","1,250","Townhouse","1984","","No","No","",""
"1","B26026606","W","3260","1160 N Federal Highway Unit#1121","EAST POINT TOWERS CONDO ","","$375,000","","2","2","0","1,344","Condo","1978","1","No","Yes","","0"
"1","A11865230","W","3800","2009 SE 10th Ave Unit#322","VILLAGE EAST CONDO Village East","","$369,900","","2","2","0","¤1,054","Condo","2000","0","","No","",""
"1","F10490757","W","3160","3020 NE 32nd Avenue Unit#814","TIDES AT BRIDGESIDE TIDES AT BRIDGESIDE","","$369,000","","1","1","0","790","Condo","2002","1","","No","",""
"1","B26005913","W","3160","3020 NE 32nd Avenue Unit#1017","TIDES AT BRIDGESIDE SQUARE ","","$365,000","","1","1","0","640","Condo","2002","1","No","Yes","","0"
"1","A12003639","W","3390","1628 NW 8th Ave","South Middle River ","","$349,900","","3","2","","¤1,240","Single","1967","0","No","No","Attached",""
"1","F10513719","W","3600","520 SE 5th Avenue Unit#2510","Las Olas By The River Las Olas By The River","","$348,000","","2","2","0","1,083","Condo","2001","1","No","No","","0"
"1","A11848956","W","3600","1777 SE 15th St Unit#308","CROMWELL EAST CONDO Cromwell East","","$335,000","","2","1","1","¤840","Condo","1974","0","","Yes","",""
"1","B26025227","W","3460","1714 NW 7th Place","LINCOLN PARK FIRST ADD ","","$330,000","","3","1","0","988","Single","1972","","No","No","","5,000"
"1","F10552510","W","3270","1515 E Broward Boulevard Unit#326","Pinecrest Village Pinecrest Village","","$325,000","","2","2","0","960","Condo","1966","","No","No","","0"
"1","F10549576","W","3460","718 NW 15 Terrace","CARVER PARK ","","$325,000","","2","1","0","756","Single","1950","0","No","No","","5,625"
"1","R11160109","W","3810","1404 NW 4th Avenue","PROGRESSO ","","$325,000","","2","1","0","720","","1958","0","No","No","Garden Apartment, Ranch","3,376"
"1","A11960099","W","3560","0 SW 16th Ave","SHERWOOD FOREST ","","$295,000","","0","0","","","Single","2026","2","No","No","Detached","¤6,363"
"1","F10554303","W","3260","2760 Yacht Club Boulevard Unit#10g","CORAL COVE ASSOC CO-OP CORAL COVE ASSOC CO-OP","","$289,000","","1","1","0","670","Co-Op","1955","","","Yes","",""
"1","R11164854","W","3160","2404 NE Ne 33rd Ave Avenue Unit#4","CYPRESS ARMS CONDO ","","$285,000","","1","1","0","600","Condo","1972","0","No","No","",""
"1","A11737994","W","3260","2340 NE 9th St Unit#209","PARK RIDGE EAST PARK RIDGE EAST","","$275,000","","1","1","1","¤734","Condo","1967","1","","No","",""
