"","MLS # Link","St","Area","Address","Subdivision/Complex","","List Price","Sale Price","#Beds","#FBaths","#HBaths","SqFt LA","Type of Property","Year Built","#Garage Spaces","Pool YN","Waterfront Property (Y/N)","Design","Lot SqFt"
"1","A11566254","CS","3160","2920 N Atlantic Blvd","LAUDERDALE BEACH ","","$6,999,000","$6,500,000","4","3","1","¤2,750","Single","1951","2","No","Yes","Detached","¤9,360"
"1","A11811091","CS","3280","324 Coconut Isle Dr","VENICE ","","$6,995,000","$6,200,000","6","5","1","¤5,526","Single","2003","4","Yes","Yes","Attached","¤10,000"
"1","F10498710","CS","3280","1700 Brickell Dr","Colee Hammock 1-17 B ","","$6,995,000","$6,500,000","5","5","1","4,900","Single","2026","4","Yes","Yes","","20,391"
"1","F10456676","CS","3600","1617 SE 11th St","Rio Vista Isles ","","$6,750,000","$6,500,000","5","5","1","5,105","Single","2006","2","Yes","Yes","","9,375"
"1","A11925918","CS","3280","401 Bontona Ave","VENICE RESUB OF BLKS 5 & ","","$6,595,000","$6,300,000","5","5","2","6,026","Single","2025","2","Yes","Yes","Attached","¤9,488"
"1","F10434485","CS","3280","508 Isle Of Palms Dr","LAS OLAS ISLES ","","$6,595,000","$6,115,000","6","6","1","6,586","Single","2009","2","Yes","Yes","","12,999"
"1","F10469173","CS","3160","525 N Fort Lauderdale Beach Blvd Unit#1501","Four Seasons Four Seasons","","$6,500,000","$5,750,000","4","4","1","2,575","Condo","2022","2","","Yes","",""
"1","F10517335","CS","3260","2222 Intracoastal Dr","Coral Ridge North 28-37 B ","","$6,500,000","$5,500,000","4","4","2","5,422","Single","2020","4","Yes","Yes","","10,990"
"1","F10551762","CS","3600","1520 SE 10th Street","Rio Vista ","","$6,500,000","$6,325,000","6","6","1","4,633","Single","2006","2","Yes","Yes","","9,375"
"1","F10469263","CS","3160","2200 N Ocean Blvd Unit#S1501","Auberge Residences Auberge Residences","","$6,495,000","$6,495,000","4","4","0","3,500","Condo","2018","2","","Yes","",""
"1","F10456113","CS","3160","2504 N Atlantic Blvd","Lauderdale Beach 4-2 B ","","$6,495,000","$6,000,000","3","3","1","3,042","Single","1964","2","Yes","Yes","","7,033"
"1","F10551386","CS","3280","710 Isle Of Palms Drive","Stilwell Isles Isles Of P ","","$6,495,000","$6,495,000","6","5","1","5,567","Single","2009","3","Yes","Yes","","12,999"
"1","F10541785","CS","3280","2425 Delmar Place","GOULD ISLAND ","","$6,495,000","$5,975,000","5","4","1","4,714","Single","2020","2","Yes","Yes","","9,000"
"1","F10546512","CS","3260","2732 NE 16th Street","Coral Ridge 21-50 B ","","$6,449,500","$6,400,000","5","6","2","4,698","Single","2026","3","Yes","Yes","","12,500"
"1","F10493041","CS","3280","509 Coconut Isle Drive","Venice 8-12 B ","","$6,400,000","$5,450,000","5","6","1","4,380","Single","2020","2","Yes","Yes","","12,500"
"1","A11704775","CS","3260","2726 NE 17th St","CORAL RIDGE ","","$6,300,000","$5,350,000","5","5","0","¤5,184","Single","2006","3","Yes","Yes","Detached","¤12,500"
"1","F10466007","CS","3160","2200 N Ocean Blvd Unit#S501","Auberge Residences Auberge Residences","","$6,299,000","$5,600,000","4","5","0","3,500","Condo","2018","2","","Yes","",""
"1","F10527627","CS","3280","30 Fiesta Way","Nurmi Isles Island 3 ","","$6,250,000","$5,900,000","7","6","0","5,510","Single","2000","3","Yes","Yes","","10,200"
"1","F10451265","CS","3170","2542 Lucille Drive","Harbor Beach ","","$6,000,000","$5,700,000","4","4","0","3,267","Single","1957","2","Yes","Yes","","11,875"
"1","B26012646","CS","3280","620 Coral Way","CORAL ISLES ","","$5,999,995","$5,800,000","6","5","2","4,945","Single","2000","4","Yes","Yes","Substantially Remodeled","10,500"
"1","F10503542","CS","3160","1 N Fort Lauderdale Beach Boulevard Unit#2203","Ritz Carlton Ritz Carlton","","$5,995,000","$4,700,000","3","4","1","3,833","Condo","2008","2","","Yes","",""
"1","F10464736","CS","3260","1335 Seminole Dr","Beach Way Heights ","","$5,995,000","$5,633,000","5","6","1","6,627","Single","2001","3","Yes","Yes","","9,900"
"1","F10466780","CS","3280","701 Idlewyld Dr","Idlewyld ","","$5,995,000","$5,455,000","5","5","2","5,868","Single","1995","4","Yes","Yes","","9,518"
"1","F10464988","CS","3260","2110 Intracoastal Dr","Coral Ridge ","","$5,990,000","$4,654,917","4","3","0","4,908","Single","2009","2","Yes","Yes","","12,000"
"1","F10526830","CS","3160","2140 N Ocean Blvd Unit#V","THE PALMS TOWNHOUSES THE PALMS TOWNHOUSES","","$5,800,000","$4,800,000","3","6","0","4,180","Townhouse","1999","1","","Yes","",""
"1","F10542100","CS","3260","2717 NE 29th St","Coral Ridge ","","$5,800,000","$5,550,000","5","5","1","4,982","Single","2025","3","Yes","No","","10,001"
"1","F10537753","CS","3280","2221 SE 17 Street Unit#804","Pier Sixty-Six Pier Sixty-Six","","$5,800,000","$5,500,000","3","3","1","2,837","Condo","2025","2","","Yes","",""
"1","F10531841","CS","3160","2200 N Ocean Boulevard Unit#N1003","AUBERGE BEACH RESIDENCES AUBERGE BEACH RESIDENCES","","$5,750,000","$5,055,000","4","4","1","3,591","Condo","2018","2","Yes","Yes","","0"
"1","F10551857","CS","3260","920 Intracoastal Drive Unit#Ph1","AQUABLU AQUABLU","","$5,750,000","$5,400,000","3","3","1","4,295","Condo","2018","3","No","Yes","","0"
"1","A11764965","CS","3260","1328 Seminole Dr","BEACH WAY HEIGHTS UNIT ","","$5,750,000","$6,700,000","4","4","0","¤6,788","Single","1999","2","Yes","Yes","Detached","¤12,651"
"1","F10452357","CS","3170","321 N Birch Rd Unit#801","321 Water's Edge 321 Water's Edge","","$5,700,000","$5,700,000","3","3","1","3,811","Condo","2020","2","","Yes","",""
"1","F10501844","CS","3260","2746 NE 18th Street","Coral Ridge 21-50 B ","","$5,695,000","$5,250,000","5","5","1","4,935","Single","2019","3","Yes","Yes","","10,972"
"1","F10529298","CS","3280","519 ROYAL PLAZA DR","STILWELL ISLES 15-26 B ","","$5,695,000","$5,400,000","5","7","1","5,981","Single","2000","3","Yes","Yes","",""
"1","B26016103","CS","3600","1517 SE 12th Court","LAUDERDALE HARBORS SEC A R ","","$5,690,000","$5,600,000","5","5","0","4,782","Single","2021","3","Yes","Yes","","7,700"
"1","A11922281","CS","3280","2241 SE 17th St Unit#703","Azul Condominium Pier Sixty-Six","","$5,650,000","$4,900,000","3","3","1","","Condo","2025","2","","Yes","",""
"1","F10484560","CS","3170","2400 Inlet Drive","HARBOUR HEIGHTS ADD AMEN ","","$5,595,000","$5,000,000","3","3","2","2,756","Single","1968","2","Yes","Yes","","12,500"
"1","F10512239","CS","3280","15 PELICAN DR","Las Olas Isles ","","$5,595,000","$5,350,000","4","5","0","4,790","Single","1997","3","Yes","Yes","","13,012"
"1","F10481619","CS","3260","2210 Intracoastal Dr","Coral Ridge North 28-37 B ","","$5,500,000","$5,400,000","5","4","1","4,524","Single","2022","2","Yes","Yes","","12,000"
"1","F10551995","CS","3280","603 Solar Isle Drive","Riviera 6-17 B ","","$5,500,000","$5,400,000","4","4","1","4,307","Single","2016","2","Yes","Yes","","8,125"
"1","F10545720","CS","3280","166 Royal Palm Drive","NURMI ISLES ISLAND NO 1 ","","$5,500,000","$5,350,000","5","5","2","5,752","Single","1996","3","Yes","Yes","","12,000"
"1","F10486802","CS","3280","530 Lido Dr","CORAL ISLES ","","$5,500,000","$4,820,000","5","4","3","7,450","Single","1993","2","Yes","Yes","","12,075"
"1","F10484699","CS","3280","2323 Delmar Pl","Gould Island 15-62 B ","","$5,500,000","$5,275,000","6","5","0","4,322","Single","1988","2","Yes","Yes","","11,700"
"1","A11699866","CS","3280","2506 Aqua Vista Blvd","LAUDERDALE ISLES RE-AMEND ","","$5,500,000","$5,100,000","5","5","1","¤4,438","Single","1990","2","Yes","Yes","Attached","¤9,679"
"1","F10483517","CS","3280","18 Nurmi Dr","NURMI ISLES ISLAND NO 2 ","","$5,499,000","$5,325,000","4","4","1","3,529","Single","1962","2","Yes","Yes","","13,200"
"1","F10425907","CS","3280","703 Royal Plaza Dr","Stilwell Isles 15-26 B ","","$5,499,000","$5,200,000","5","5","0","4,245","Single","1951","2","Yes","Yes","","12,000"
"1","A11684482","CS","3280","34 Pelican Dr","PELICAN ISLE ","","$5,495,000","$4,850,000","4","4","0","¤3,817","Single","1991","3","Yes","Yes","Attached","¤13,012"
"1","F10479410","CS","3600","1713 SE 7th St","Rio Vista Isles ","","$5,495,000","$4,800,000","4","3","1","3,641","Single","2001","2","Yes","Yes","","8,166"
"1","F10533513","CS","3170","2520 Laguna Terrace","Harbor Beach ","","$5,490,000","$3,600,000","7","6","2","6,931","Single","1980","3","Yes","No","","23,414"
"1","A11944116","CS","3170","2200 S Ocean Ln Unit#2609/2610","POINT OF AMERICAS PHASE II Point of Americas PhaseII","","$5,400,000","$4,000,000","4","4","0","¤3,644","Condo","1971","2","","Yes","",""
"1","A11641365","CS","3240","2719 NE 14th St","CORAL RIDGE ","","$5,395,000","$4,800,000","4","4","1","¤4,356","Single","2024","3","Yes","Yes","Attached","¤6,250"
"1","F10545492","CS","3160","153 N Seabreeze Blvd Unit#2302","Selene Selene","","$5,390,000","$5,250,000","4","3","1","3,240","Condo","2025","2","","Yes","",""
"1","F10514674","CS","3260","2885 NE 29th Street","Old Coral Ridge ","","$5,385,000","$5,385,000","7","6","1","7,382","Single","2003","2","Yes","Yes","","13,720"
"1","F10497034","CS","3160","1525 N Fort Lauderdale Beach Boulevard","Las Olas By The Sea Ext 3 ","","$5,375,000","$5,050,000","4","3","1","3,938","Single","2005","4","Yes","Yes","","7,428"
"1","F10495529","CS","3280","615 3rd Key Drive","SUNRISE KEY ","","$5,350,000","$4,900,000","4","3","1","3,606","Single","1979","2","Yes","Yes","","11,400"
"1","F10531694","CS","3280","2630 Barcelona Drive","Lauderdale Isles ","","$5,295,000","$4,900,000","5","5","0","4,324","Single","2000","2","Yes","Yes","","9,750"
"1","A11598643","CS","3280","307 Seven Isles Dr","BARCELONA ISLE ","","$5,275,000","$5,275,000","5","3","1","¤4,858","Single","1991","3","Yes","Yes","Detached","¤10,400"
"1","F10517399","CS","3160","525 N Fort Lauderdale Beach Blvd Unit#803","Four Seasons Four Seasons","","$5,250,000","$4,925,000","3","3","1","2,340","Condo","2022","2","","Yes","",""
"1","F10450511","CS","3170","2552 Mercedes Dr","Harbor Beach ","","$5,200,000","$4,950,000","5","3","0","2,845","Single","1974","2","Yes","Yes","","13,000"
