"","MLS # Link","St","Area","Address","Subdivision/Complex","","List Price","Sale Price","#Beds","#FBaths","#HBaths","SqFt LA","Type of Property","Year Built","#Garage Spaces","Pool YN","Waterfront Property (Y/N)","Design","Lot SqFt"
"1","A11475198","X","3280","511 San Marco Dr","CORAL ISLES ","","$7,695,000","","5","5","1","¤5,288","Single","1999","3","Yes","Yes","Detached","¤11,000"
"1","F10525014","X","3160","2200 N Ocean Boulevard Unit#S2004","Auberge Residences Auberge Residences","","$7,500,000","","3","4","1","3,595","Condo","2018","2","","Yes","",""
"1","F10418468","X","3280","432 Coconut Isle Dr","Venice 8-12 B ","","$7,500,000","","6","6","2","6,046","Single","2020","3","Yes","Yes","",""
"1","F10502599","X","3160","24 Isla Bahia Drive","Isla Bahia 47-27 B ","","$7,400,000","","0","0","0","0","Single","2025","8","No","Yes","","13,000"
"1","F10512632","X","3280","7 Pelican Drive","Pelican Isle 21-19 B ","","$7,200,000","","7","7","1","6,301","Single","2003","3","Yes","Yes","","13,012"
"1","F10451587","X","3280","7 Pelican Dr","Pelican Isle 21-19 B ","","$7,200,000","","7","7","1","6,301","Single","2003","3","Yes","Yes","","13,012"
"1","F10498068","X","3280","441 Royal Plaza Dr","Stilwell Isles 15-26 B ","","$7,195,000","","6","6","2","6,602","Single","2008","3","Yes","Yes","","12,000"
"1","F10487433","X","3280","2412 Delmar Pl","Gould Island 15-62 B ","","$7,150,000","","5","7","0","5,382","Single","2025","3","Yes","Yes","","9,000"
"1","A11787419","X","3280","609 2nd Key Dr","SUNRISE KEY ","","$7,000,000","","5","5","2","¤5,845","Single","2006","3","Yes","Yes","Detached","¤11,848"
"1","A11554124","X","3280","67 Royal Palm Dr","NURMI ISLES ISLAND NO 1 ","","$6,999,999","","7","6","1","¤6,012","Single","2002","3","Yes","Yes","Attached","¤12,000"
"1","F10403432","X","3160","525 N Ft Lauderdale Beach Blvd Unit#1501","Four Seasons Four Seasons","","$6,995,000","","4","4","1","2,575","Condo","2022","2","","Yes","",""
"1","F10471642","X","3280","27 Pelican Dr","PELICAN ISLE ","","$6,995,000","","6","6","1","5,204","Single","1996","3","Yes","Yes","",""
"1","F10464613","X","3280","2009 SUNRISE KEY BLVD","SUNRISE KEY ","","$6,995,000","","4","4","1","5,166","Single","2000","2","Yes","Yes","","14,333"
"1","A11631797","X","3260","2891 NE 28th St","CORAL RIDGE GALT ADD NO 1 ","","$6,990,000","","4","4","0","¤3,116","Single","1958","2","Yes","Yes","Attached","¤12,964"
"1","F10468881","X","3170","12 Sylvan Lane","Harbor Beach ","","$6,900,000","","5","5","1","6,878","Single","2018","4","Yes","No","","24,896"
"1","A11604540","X","3280","30 Fiesta Way","NURMI ISLES ISLAND NO 3 ","","$6,850,000","","7","6","0","¤5,510","Single","2000","3","Yes","Yes","Attached","¤10,200"
"1","F10424549","X","3260","608 Intracoastal drive","Sunrise 28-42 B ","","$6,750,000","","4","3","2","4,700","Single","1957","2","Yes","Yes","","16,500"
"1","R11045356","X","3280","30 Fiesta Way","NURMI ISLES ISLAND ","","$6,550,000","","7","6","0","5,510","Single","2000","3","Yes","Yes","Garden Apartment","10,200"
"1","F10533613","X","3160","525 N Fort Lauderdale Beach Boulevard Unit#1802","Four Seasons Four Seasons","","$6,500,000","","3","5","0","2,909","Condo","2024","2","","Yes","","0"
"1","F10459061","X","3170","2000 Harbourview Dr","Harbour Heights Add 35-21 ","","$6,500,000","","4","5","1","4,964","Single","2025","3","Yes","No","","8,500"
"1","F10434974","X","3260","2222 Intracoastal Dr","Coral Ridge North 28-37 B ","","$6,500,000","","4","4","2","5,422","Single","2020","4","Yes","Yes","","10,990"
"1","F10509890","X","3280","2241 SE 17th Unit#703","Azul Condominium Azul Condominium","","$6,500,000","","3","3","1","2,718","Condo","2025","2","","Yes","",""
"1","F10451015","X","3600","1640 SE 7th St","RIO VISTA ISLES ","","$6,499,000","","5","5","1","5,023","Single","2016","2","Yes","Yes","","9,375"
"1","F10435631","X","3170","1660 E River Ln","Harbor Beach ","","$6,495,000","","3","4","0","3,055","Single","1963","2","Yes","Yes","","16,287"
"1","F10463888","X","3470","333 SW 14th Way","SAILBOAT BEND ","","$6,400,000","","6","6","1","5,631","Single","2025","3","Yes","Yes","",""
"1","F10457969","X","3160","1 N Fort Lauderdale Beach Blvd Unit#1801/1808","Ritz Carlton Ritz Carlton","","$6,350,000","","4","4","2","3,784","Condo","2007","4","","No","",""
"1","F10456811","X","3280","34 Pelican Dr","Pelican Isle 21-19 B ","","$6,295,000","","4","4","0","4,308","Single","1991","3","Yes","Yes","","13,012"
"1","A11904327","X","3280","168 Fiesta Way","NURMI ISLES ISLAND NO 3 ","","$6,290,000","","6","5","1","¤4,632","Single","1998","2","Yes","Yes","Attached","¤10,800"
"1","A11641329","X","3280","168 Fiesta Way","NURMI ISLES ISLAND NO 3 ","","$6,290,000","","5","5","1","¤4,632","Single","1998","2","Yes","Yes","Attached","¤10,800"
