"","MLS # Link","St","Area","Address","Subdivision/Complex","","List Price","Sale Price","#Beds","#FBaths","#HBaths","SqFt LA","Type of Property","Year Built","#Garage Spaces","Pool YN","Waterfront Property (Y/N)","Design","Lot SqFt"
"1","B26009561","AC","3280","333 Sunset Drive Unit#208","FOUR SEASONS CONDO ","","$849,000","","3","2","1","1,770","Condo","1959","1","No","Yes","Substantially Remodeled","0"
"1","B26002077","AC","3370","615 NE 22nd Drive","VILLAGE AT WILTON MANORS I ","","$847,000","","3","2","2","1,700","Townhouse","2021","2","No","No","","1,067"
"1","F10556148","AC","3160","511 Bayshore Drive Unit#501","BAYSHORE TOWERS BAYSHORE TOWERS","","$835,000","","2","2","0","1,436","Condo","1971","1","","Yes","",""
"1","B26030388","AC","3370","625 NE 22nd Drive","VILLAGE AT WILTON MANORS I ","","$799,000","","3","2","1","1,580","Townhouse","2021","2","No","No","","1,160"
"1","B26036893","AC","3270","1618 NE 5th Street","MIDDLE RIVER PARK ","","$775,000","","2","2","1","1,339","Townhouse","1988","1","No","No","Other, Substantially Remodeled","3,125"
"1","A12032573","AC","3480","1408 SW 4th Ave","14 South FT. Lauderdale 14 South FT. Lauderdale","","$765,000","","3","3","1","¤2,105","Townhouse","2022","2","","No","",""
"1","F10543174","AC","3480","812 SW 14th Court","Esmonda Gardens 22-20 B ","","$759,000","","3","2","0","1,838","Single","1962","1","No","No","","10,724"
"1","B26029286","AC","3470","500 SW 8th Street","PINEWOOD PLACE RESUB PT ","","$749,000","","2","2","0","1,400","Single","1933","","No","No","","13,642"
"1","B26007751","AC","3160","2001 N Ocean Boulevard Unit#702s","The Vue ","","$740,000","","2","2","0","1,397","Condo","2005","1","No","No","","0"
"1","B26043142","AC","3170","1 Las Olas Circle Unit#905","VENETIAN CONDO ","","$739,000","","2","2","0","1,200","Condo","1970","1","No","Yes","","0"
"1","B26051010","AC","3480","1004 SW 19th Street","REAMEN PLAT YELLOWSTONE PA ","","$724,500","","4","2","0","1,984","Single","1969","1","No","No","Substantially Remodeled","6,248"
"1","B26004143","AC","3380","1503 NE 18th Avenue","PROGRESSO ","","$700,000","","3","2","0","2,085","Single","1951","","No","No","","6,747"
"1","B26042554","AC","3470","1445 SW 11th Place","VALENTINES SUB B-29 ","","$699,900","","3","2","1","2,107","Single","2002","2","No","No","","6,900"
"1","B26016463","AC","3380","1127 N Victoria Park Road","PROGRESSO ","","$699,000","","2","2","1","2,102","Townhouse","2006","2","No","No","","2,188"
"1","B26019676","AC","3810","444 NW 1st Avenue Unit#602","AVENUE LOFTS CONDO FOUR ","","$699,000","","2","2","0","1,609","Condo","2005","1","No","No","Other","0"
"1","R11161207","AC","3260","2001 NE 30th Street","CORAL SHORES ","","$692,000","","3","2","0","1,552","Single","1954","","No","No","","7,003"
"1","F10544670","AC","3270","1401 NE 9th Street Unit#13","VICTORIA PARK PLACE Victoria Park Place","","$675,000","","3","2","1","1,658","Townhouse","1985","2","No","No","","1,819"
"1","A11957147","AC","3500","600 W Las Olas Blvd Unit#1605S","SYMPHONY SOUTH CONDO The Symphony","","$675,000","","2","2","0","¤1,224","Condo","2006","1","","Yes","",""
"1","F10554128","AC","3370","818 NE 18th Street","Lauderdale Park 6-33 1/2 ","","$650,000","","3","2","0","1,515","Single","1956","","No","No","","6,757"
"1","A12019566","AC","3470","841 SW 11th Ct","VINIK NO 2 ","","$650,000","","3","2","0","¤1,444","Single","1949","0","No","No","Detached","¤6,899"
"1","B26004747","AC","3400","1517 NW 12th Avenue","LAUDERDALE VILLAS ","","$645,000","","4","3","0","1,985","Single","1952","","Yes","No","","10,107"
"1","A12018428","AC","3480","228 SW 22nd St","LAUDERDALE ","","$645,000","","3","2","0","¤1,200","Single","1950","0","No","No","Detached","¤6,750"
"1","B26046344","AC","3370","2301 Wilton Drive Unit#R305","ISLAND CITY LOFTS CONDO ","","$609,950","","2","2","0","1,386","Condo","2007","1","No","No","","0"
"1","F10539731","AC","3370","2725 NE 8 Avenue Unit#113","HIGHLAND ESTATES HIGHLAND ESTATES","","$600,000","","3","3","1","2,294","Townhouse","2008","2","No","No","",""
"1","B26034565","AC","3810","645 NW 2nd Avenue","PROGRESSO ","","$599,900","","2","2","1","1,640","Townhouse","2005","1","No","No","Other","3,375"
"1","B26047277","AC","3160","2841 N Ocean Boulevard Unit#2010","VANTAGE VIEW CONDO ","","$599,000","","1","2","0","1,200","Condo","1976","1","No","No","Substantially Remodeled","0"
"1","R11150334","AC","3280","350 SE 2nd Street Unit#730","350 LAS OLAS PLACE CONDO ","","$597,500","","2","2","0","1,297","Condo","2006","1","No","No","High Rise","0"
"1","B26053109","AC","3470","617 SW 9TH Street","PINEWOOD PLACE RESUB PT ","","$595,000","","2","1","0","998","Single","1949","","No","No","","6,750"
"1","B26042610","AC","3500","317 SW 19th Street","CROISSANT PARK PARK SECTIO ","","$549,900","","4","3","0","1,234","Single","1952","","No","No","Ranch","5,173"
"1","A12010121","AC","3627","1118 NW 16th St","LAUDERDALE VILLAS ","","$549,000","","3","2","0","¤1,404","Single","1952","0","Yes","No","Detached","¤11,384"
"1","B26023959","AC","3160","2841 N Ocean Boulevard Unit#1102","VANTAGE VIEW CONDO ","","$535,000","","2","2","0","1,100","Condo","1976","1","No","No","","0"
"1","R11122494","AC","3460","533 NW 16th Avenue","DORSEY PARK SECOND ADD ","","$530,000","","3","2","1","1,410","Single","2025","","No","No","","5,400"
"1","B26046498","AC","3480","1455 SW 16th Terrace","SHADY BANKS ON NEW RIVER R ","","$525,000","","3","2","0","1,226","Single","1957","1","No","No","","7,475"
"1","F10523400","AC","3700","315 NE 3rd Avenue Unit#1808","STRADA 315 STRADA 315","","$489,000","","2","2","0","1,151","Condo","2007","2","","No","",""
"1","F10551598","AC","3280","350 SE 2nd Street Unit#850","350 LAS OLAS PLACE 350 LAS OLAS PLACE","","$479,900","","2","2","0","1,346","Condo","2006","1","","No","","0"
"1","A11987265","AC","3600","1501 SE 15th St Unit#3-2","ISLAND CLUB Island Club","","$459,000","","2","1","1","¤1,035","Townhouse","1963","0","","Yes","",""
"1","A11956811","AC","3270","110 N Federal Hwy Unit#718","WAVERLY AT LAS OLAS CONDO WAVERLY AT LAS OLAS CONDO","","$450,000","","2","2","0","¤1,216","Condo","2006","1","","No","",""
"1","B26007745","AC","3500","312 SW 22nd Street","Croissant Park ","","$449,900","","2","1","0","864","Single","1952","","No","No","",""
"1","F10530228","AC","3160","551 N Fort Lauderdale Beach Boulevard Unit#H1115","The Ocean Resort The Ocean Resort","","$449,000","","0","1","0","451","Condo","2009","1","","Yes","","0"
"1","R11152332","AC","3400","924 NW 11th Court","LAUDERDALE MANORS ADD ","","$439,999","","5","2","0","1,584","Single","1953","","No","No","","6,600"
"1","B26006336","AC","3370","842 NE 20th Drive Unit#842","Footbridge Townhouses ","","$439,000","","2","2","1","1,212","Townhouse","1976","","No","No","","960"
"1","B26036861","AC","3270","110 N Federal Highway Unit#815","WAVERLY AT LAS OLAS CONDO ","","$429,500","","2","2","0","1,208","Condo","2005","1","No","No","Substantially Remodeled","0"
"1","A11936475","AC","3411","1032 NW 11th Pl","LAUDERDALE MANORS ADD ","","$429,000","","3","2","","¤984","Single","1954","0","No","No","Detached","¤9,632"
"1","B26049988","AC","3800","511 SE 5 Avenue Unit#2523","NURIVER LANDING CONDO ","","$429,000","","1","1","0","801","Condo","2006","1","No","No","Penthouse","0"
"1","B26021014","AC","3160","2029 N Ocean Boulevard Unit#209","TRADEWINDS BY THE SEA COND ","","$427,000","","2","2","0","1,100","Condo","1980","1","No","No","","0"
"1","B26042092","AC","3810","308 City View Drive","NEAR NORTHWEST ","","$420,000","","2","1","1","888","Townhouse","1986","","No","No","Substantially Remodeled","996"
"1","B26007679","AC","3170","2100 S Ocean Drive Unit#4j","SKY HARBOUR EAST CONDO ","","$399,000","","1","1","0","900","Condo","1965","","No","Yes","","0"
"1","F10539923","AC","3490","1403 SW 27th Court","Hibiscus Gardens 10-1 B ","","$389,999","","2","1","0","911","Single","1997","0","No","No","","5,259"
"1","A12015226","AC","3480","1730 SW 21st St","OSCEOLA PARK ","","$385,000","","3","2","0","¤1,229","Single","1952","0","Yes","No","Detached","¤5,720"
"1","A12006796","AC","3460","525 NW 15th Ter","DORSEY PARK FIRST ADD ","","$380,000","","3","2","0","¤1,014","Single","1963","0","No","No","Detached","¤5,650"
