"","MLS # Link","St","Area","Address","","Current Price","Total Units","SqFt LA","Style ","Year Built","#Parking Spaces","Subdivision Name","Pool YN","Waterfront Property (Y/N)","Sale Price"
"1","A11860854","C","3240","1615 NE 9th St","","$1,320,000","4","¤2,295","I04","1951","6","¤PROGRESSO","No","No",""
"1","R11026003","C","3370","2731 NE 1st Terrace Unit#1-4","","$1,300,000","5","6,014","I04","1956","","BABCO MANORS","Yes","No",""
"1","F10437025","C","3720","579 NW 41st St","","$1,300,000","","2,522","I04","1976","4","PROSPECT GARDENS","No","No",""
"1","F10434126","C","3380","1709 NE 15th Ave","","$1,299,000","","2,337","I04","1972","6","Allenwood 7-51 B","Yes","No",""
"1","A11660321","C","3370","634 NE 20th St","","$1,295,000","","¤3,136","I02","1972","4","¤TROPICAL GARDENS AMENDED","Yes","Yes",""
"1","R11054542","C","3370","1310 NE 30th Street","","$1,285,000","4","1,432","","1970","","OCEAN BOULEVARD PARK","Yes","Yes",""
"1","F10525492","C","3470","1415 SW 9th St","","$1,269,000","4","2,336","I04","1970","6","Riverside Add Amd 1-13 B","No","No",""
"1","F10505863","C","3720","648 NE 16th Terr","","$1,250,000","2","1,484","I02","1939","4","Greens Sub 19-18 B","No","No",""
"1","R11128244","C","3370","2731 NE 1st Terrace Unit#1-4","","$1,249,000","4","6,014","I04","1956","","BABCO MANORS","Yes","No",""
"1","F10492356","C","3380","2015 NE 17th Ct","","$1,249,000","3","2,787","I03","1955","6","Lauder Gate 26-48 B","No","No",""
"1","A11914007","C","3390","1214 NW 4th Ave","","$1,229,900","2","3,166","I02","2025","8","¤PROGRESSO","No","No",""
"1","F10435541","C","3250","2820 NE 49th St","","$1,225,000","","2,638","I02","1965","4","Coral Ridge Country Club","No","No",""
"1","F10546074","C","3270","740 NE 17th Avenue","","$1,200,000","2","2,736","","1990","","VICTORIA PARK","No","No",""
"1","F10437628","C","3380","1400 NE 22nd St","","$1,200,000","","1,719","I02","1960","4","Edgewater Estates 1st Add","No","No",""
"1","A11812834","C","3470","1820 SW 9th St","","$1,200,000","2","2,576","I02","2024","4","¤RIVERSIDE PARK","No","No",""
