"","MLS # Link","St","Area","Address","","Current Price","Total Units","SqFt LA","Style ","Year Built","#Parking Spaces","Subdivision Name","Pool YN","Waterfront Property (Y/N)","Sale Price"
"1","A11599826","CS","3380","1104 NE 16th Ave","","$732,000","2","¤1,686","I02","1960","4","¤PROGRESSO","No","No","$732,000"
"1","A11957746","CS","3370","2024 NE 26th St","","$724,490","","¤2,109","I04","1985","5","¤CORAL POINT","No","No","$724,490"
"1","F10464010","CS","3450","845-853 NE 37th St","","$789,000","2","1,952","I02","1967","4","Oakland Park Second Add 1","Yes","No","$789,000"
"1","F10518820","CS","3450","3450 - 3460 NE 13th Ave","","$750,000","","1,970","I02","1983","4","The Corals","No","No","$750,000"
"1","A11653802","CS","3570","244 SW 21st St","","$750,000","","¤1,698","I03","1950","6","¤LAUDERDALE","No","No","$750,000"
"1","F10493778","CS","3370","1017 NE 23rd Dr","","$740,000","2","1,625","I02","1959","5","Wilton Manors","No","No","$740,000"
"1","F10468911","CS","3460","1225 NW 2nd Street","","$729,592","","2,076","I04","1964","4","SEMINOLE FOREST","No","No","$729,592"
"1","A11670575","CS","3370","15 NE 16th St","","$735,000","","¤1,796","I02","1967","4","¤PLACIDO PLACE","No","No","$735,000"
"1","B26003787","CS","3370","832-834 NE 22nd Drive Unit#1-4","","$695,000","2","1,835","","1965","","WILTON MANORS","No","No","$695,000"
"1","A11914108","CS","3380","1411 NE 12th St","","$715,000","2","¤1,752","I02","1959","6","¤PROGRESSO","No","No","$715,000"
"1","R11132122","CS","3380","1025-1027 NE 16 Terrace","","$585,000","4","4,223","","1960","","Progresso","No","No","$585,000"
"1","F10536659","CS","3470","828 SW 14th Court","","$750,000","0","1,791","","2020","","Esmonda Gardens 22-20 B","Yes","No","$750,000"
"1","F10485017","CS","3480","411 SW 19th St","","$730,000","","1,606","I03","1939","3","Lauderdale 2-9 D","No","No","$730,000"
"1","F10474026","CS","3480","800 SW 14th St","","$750,000","","3,166","I02","1965","7","Island View 33-2 B","No","No","$750,000"
"1","F10458307","CS","3720","271 NW 41st St","","$730,000","","2,608","I04","1959","5","Prospect Gardens 22-26 B","No","No","$730,000"
"1","A11694658","CS","3480","814/812 SW Thirteenth St.","","$749,500","2","¤2,297","I02","1969","4","¤ISLAND VIEW","No","No","$749,500"
"1","F10479530","CS","3360","3468 NE 17th Ave","","$724,500","2","1,998","I02","1960","5","OAKLAND PARK SECOND ADD","No","No","$724,500"
"1","A11790888","CS","3380","901 NE 16th St","","$739,000","","¤1,690","I02","1953","4","¤LAUDERDALE PARK 6-33 1/2","No","No","$739,000"
