"","MLS # Link","St","Area","Address","Current Price","Total Acreage","Property SqFt","Lot Description","ZN","Subdivision Name","Road Description","Waterfront Property (Y/N)","Style of Property","Type of Property","Sale Price"
"1001","F10538960","CS","5940 Florida Other","1 Key West Drive","$10,000","0.5000","21,797","1/2 To Less Than 3/4 Acre Lot, Less Than 1 Acre","pud","Indian Lake Estates","Private Road","No","Zoned Residential","Unimproved Agri/Recreatn/Moblhome","$10,000"
"1001","R11108187","CS","5940 Florida Other","2013 Andros Street","$5,100","","","Less Than 1/4 Acre Lot","R1A","ORANGE BLOSSOM EST UNIT 1","City/County Maintained","No","","Single","$5,100"
"1001","A11310492","CS","5940 Florida Other","14294 Moonfish Ct","$11,500","0.1800","7,800","Less Than 1/4 Acre Lot","","Rotonda Villas","","No","Zoned Residential","Residential","$11,500"
"1001","T20054128","CS","7070","1211 N 16th CT","$10,500","0.0592","","","","","","No","","Single","$10,500"
"1001","R11159099","CS","7070","1211 N 16th Court","$10,500","0.0592","","Less Than 1/4 Acre Lot, Less Than 1 Acre, West Of US 1","Medium","HIGHLAND PARK SUBDIVISION","City/County Maintained","No","","Unimproved Agri/Recreatn/Moblhome","$10,500"
"1001","A11631313","CS","5940 Florida Other","NEW PORT RICHEY HELENA ST","$10,000","0.1945","","","","MOON LAKE ESTATES","","No","Zoned Residential","Residential","$10,000"
"1001","R11090997","CS","5940 Florida Other","182 Millican Road","$10,900","0.2600","","","RES","RIO DE ST JOHNS","","No","","Single","$10,900"
"1001","R11090996","CS","5940 Florida Other","180 Millican Road","$12,200","0.2600","","1/4 To Less Than 1/2 Acre Lot","RES","RIO DE ST JOHNS","","No","","Unimproved Agri/Recreatn/Moblhome","$12,200"
"1001","A11934269","CS","5940 Florida Other","0 Southwest 2nd Place","$10,000","0.2600","","","","RAINBOW PARK UNIT 8","","No","Zoned Residential","Residential","$10,000"
"1001","A11902929","CS","5940 Florida Other","433 CLAREMONT AVE","$10,000","0.3000","","Less Than 1/4 Acre Lot","","PLACID LAKES","","No","Zoned Residential","Other","$10,000"
"1001","F10492651","CS","5940 Florida Other","Lot 5 BLK 341 Blk 341 Palm Beach Drive","$9,800","0.5000","21,800","1/2 To Less Than 3/4 Acre Lot","","Indian Lake Estates","Private Road","No","Zoned Residential","Unimproved Agri/Recreatn/Moblhome","$9,800"
"1001","R11100189","CS","5940 Florida Other","512 Dogwood Avenue","$9,000","0.2300","","Less Than 1/4 Acre Lot","R2","PARADISE LAKES SUB","","No","","Single","$9,000"
"1001","B26003913","CS","5940 Florida Other","6280 Bowdoin Avenue","$8,000","0.3400","","1/4 To Less Than 1/2 Acre Lot, Less Than 1 Acre","00","HIGHRIDGE ESTATES","Gravel/Lime Rock Road","No","","Unimproved Agri/Recreatn/Moblhome","$8,000"
"1001","A11927088","CS","5940 Florida Other","3517 Green Acre Way","$20,000","0.2571","11,200","","","BUCHANANS GREEN ACRES","","No","Zoned Residential","Other","$20,000"
"1001","R11137259","CS","5940 Florida Other","234 1st Way","$9,000","0.1100","","Less Than 1/4 Acre Lot","Residential","OAK RIDGE PARK","Paved Road","No","","Unimproved Agri/Recreatn/Moblhome","$9,000"
"1001","R11137258","CS","5940 Florida Other","232 1st Way","$9,000","0.1100","","Less Than 1/4 Acre Lot","Residential","OAK RIDGE PARK","Gravel/Lime Rock Road, Paved Road","No","","Unimproved Agri/Recreatn/Moblhome","$9,000"
"1001","A11903682","CS","5940 Florida Other","MOMENCE CT-Alford MOMENCE CT","$9,000","1.5180","","","","COMPASS LAKE HILLS","","No","Zoned Residential","Residential","$9,000"
"1001","R11121869","CS","5940 Florida Other","3362 Rhododendron Road","$9,400","","","","R1","LEISURE LAKES SEC 17","Public Road","No","","Single","$9,400"
"1001","A11703575","CS","5940 Florida Other","0 Red Plum Ln","$9,000","1.0310","","","","OAKWOOD HILLS 11","","Yes","Zoned Residential","Residential","$9,000"
"1001","R11152436","CS","5940 Florida Other","00 Riverside Trail","$7,999","","","Less Than 1/4 Acre Lot","R2","HOOT OWL","","No","","Unimproved Agri/Recreatn/Moblhome","$7,999"
"1001","R11152425","CS","5940 Florida Other","1256 Kumquat Street","$9,999","0.2296","","Less Than 1/4 Acre Lot","R1","LEISURE LAKES SEC 07","","No","","Unimproved Agri/Recreatn/Moblhome","$9,999"
"1001","F10524611","CS","","15893 NW 302nd St","$9,500","1.3100","65,340","","","The Prairie","","No","Zoned Residential","Other","$9,500"
"1001","A11996203","CS","5940 Florida Other","11147 W State Park ST","$9,088","0.5956","","","","CRYSTAL LAKE","","No","Zoned Residential","Residential","$9,088"
"1001","A11954227","CS","5940 Florida Other","unnumbered Ocean Street","$9,000","7,405.0000","","","","Palatka","","No","Zoned Residential","Residential","$9,000"
"1001","A11808171","CS","5940 Florida Other","2221 NW 12th St","$9,000","0.1100","5,009","","Residential","Cape Coral","","No","Zoned Residential","Residential","$9,000"
"1001","A11854005","CS","5940 Florida Other","105 Colebrook Ave","$8,000","0.2300","10,000","Less Than 1/4 Acre Lot","R1","SUN N LAKES L.P. EAST SIDE","","No","Zoned Residential","Residential","$8,000"
"1001","A11813059","CS","5940 Florida Other","1401 RUTLEDGE AVE","$7,250","0.2583","","","","HIGHLANDS PARK EST SEC J","","No","Zoned Residential","Residential","$7,250"
"1001","A11813041","CS","5940 Florida Other","1403 RUTLEDGE","$7,250","0.2583","","","","HIGHLANDS PARK EST SEC J","","No","Zoned Residential","Residential","$7,250"
"1001","R11117928","CS","5990 Global Outside US","0 Hickory Nut Trail Trail","$7,000","0.2800","","1/4 To Less Than 1/2 Acre Lot","res","ST JOHNS RIVERSIDE ESTATES","","No","","Unimproved Agri/Recreatn/Moblhome","$7,000"
"1001","A11838986","CS","5940 Florida Other","0 McCALL ST","$7,000","0.3100","13,397","","","INTERLACHEN LAKES ESTATES","","No","Zoned Residential","Residential","$7,000"
"1001","R11109223","CS","5940 Florida Other","512 Oakcrest Drive","$8,100","0.2500","","1/4 To Less Than 1/2 Acre Lot","RES","INTERLACHEN VILLAS","","No","","Unimproved Agri/Recreatn/Moblhome","$8,100"
"1001","A11894551","CS","5940 Florida Other","0 NE 62ND ST","$7,000","0.2300","10,019","","","OAK RIDGE ESTATES","","No","Zoned Residential","Residential","$7,000"
"1001","R11108190","CS","5940 Florida Other","499 Devotion Drive","$6,500","","","Less Than 1/4 Acre Lot","R1","SUN N LK LP UNIT 17","City/County Maintained","No","","Single","$6,500"
"1001","A11839033","CS","5940 Florida Other","109 RANDALL DR","$8,000","0.2300","10,019","","","ST JOHNS RIVERSIDE ESTATES","","No","Zoned Residential","Residential","$8,000"
"1001","A11838957","CS","5940 Florida Other","0 McCALL ST","$7,000","0.2300","10,125","","R-2","INTERLACHEN LAKES ESTATES","","No","Zoned Residential","Residential","$7,000"
"1001","R11103522","CS","5940 Florida Other","3024 Valerie Boulevard","$5,000","0.2600","","","R1","SEBRING RIDGE SEC A","City/County Maintained, Paved Road, Public Road","No","","Single","$5,000"
"1001","A11881244","CS","5940 Florida Other","117 E M L KING JR BLVD","$7,000","0.2400","10,411","","","UNKNOWN","","No","Zoned Residential","Residential","$7,000"
