status,neighborhood,ptype,list_price,sqft,ask_ppsf,pred_ppsf,gap_pct,waterfront,flag
Active,Manor Grove Village One Wilton Manors,Condo,155000.0,750.0,207.0,288.0,-28.3,False,Underpriced
Active,Nurmi Isles,Single Family,7450000.0,6184.0,1205.0,1680.0,-28.3,True,Underpriced
Active,Breakwater Towers Co Op,Condo,225000.0,750.0,300.0,418.0,-28.2,False,Underpriced
Active,Club Resort Residence Club,Condo,329000.0,906.0,363.0,506.0,-28.2,False,Underpriced
Active,Gallery One,Condo,115000.0,617.0,186.0,260.0,-28.2,True,Underpriced
Active,Port Repose Co Op,Condo,244900.0,580.0,422.0,588.0,-28.1,True,Underpriced
Active,Dorsey Park Third,Single Family,355000.0,918.0,387.0,537.0,-28.0,False,Underpriced
Active,Highland Estates,Townhouse,575000.0,2294.0,251.0,348.0,-28.0,False,Underpriced
Active,Colonial Manor East Apart Colonial Manor East,Condo,199000.0,806.0,247.0,342.0,-27.8,False,Underpriced
Pending,Lauderdale Beach,Single Family,1999999.0,2499.0,800.0,1109.0,-27.8,False,Underpriced
Active,Michelle Ii,Townhouse,863020.0,2242.0,385.0,533.0,-27.8,False,Underpriced
Active,Lauderdale Lot Bl,Single Family,599000.0,2034.0,294.0,407.0,-27.7,False,Underpriced
Active,Dolphin Isles,Single Family,3000000.0,3418.0,878.0,1214.0,-27.7,False,Underpriced
Active,Las Olas,Condo,285500.0,816.0,350.0,484.0,-27.7,False,Underpriced
Active,Lake Park,Single Family,799000.0,1835.0,435.0,602.0,-27.7,True,Underpriced
Active,Progresso,Single Family,405000.0,1331.0,304.0,420.0,-27.5,False,Underpriced
Active,Gallery One By Hilton,Condo,155000.0,554.0,280.0,386.0,-27.5,False,Underpriced
Active,Marina Del Mar Condomini,Condo,187500.0,670.0,280.0,385.0,-27.4,True,Underpriced
Active,Sole Fort Lauderdale Co,Condo,239000.0,960.0,249.0,342.0,-27.3,False,Underpriced
