status,neighborhood,ptype,list_price,sqft,ask_ppsf,pred_ppsf,gap_pct,waterfront,flag
Active,Las Olas,Condo,1499000.0,2950.0,508.0,644.0,-21.1,True,Underpriced
Pending,Wilton Manors First,Single Family,2275000.0,3755.0,606.0,768.0,-21.1,False,Underpriced
Active,Colee Hammock,Single Family,2999000.0,3937.0,762.0,966.0,-21.1,False,Underpriced
Active,City View City View Townhomes,Townhouse,479999.0,1452.0,331.0,419.0,-21.0,False,Underpriced
Active,Manor Grove Village,Condo,179000.0,750.0,239.0,302.0,-21.0,False,Underpriced
Active,Atlantic Hotel,Condo,499000.0,990.0,504.0,638.0,-21.0,True,Underpriced
Active,Leisure Sands,Condo,275000.0,810.0,340.0,429.0,-20.9,False,Underpriced
Active,Sole Fort Lauderdale Co,Condo,380000.0,1270.0,299.0,378.0,-20.9,False,Underpriced
Active,Vue Association,Condo,749000.0,1382.0,542.0,685.0,-20.9,True,Underpriced
Active,Las Olas,Single Family,4800000.0,5000.0,960.0,1212.0,-20.8,False,Underpriced
Active,Vantage View,Condo,369000.0,1100.0,335.0,423.0,-20.7,False,Underpriced
Active,Lauderdale Beach,Single Family,2695000.0,3400.0,793.0,999.0,-20.6,False,Underpriced
Active,Gallery One,Condo,124900.0,548.0,228.0,287.0,-20.5,True,Underpriced
Active,Gallery One,Condo,100000.0,470.0,213.0,268.0,-20.5,True,Underpriced
Active,Rio Nuevo,Condo,249500.0,1020.0,245.0,307.0,-20.5,True,Underpriced
Active,Victoria Park,Single Family,3400000.0,4694.0,724.0,910.0,-20.4,False,Underpriced
Active,Shore Club,Condo,683000.0,1500.0,455.0,571.0,-20.3,True,Underpriced
Active,Jenada Villas,Single Family,695000.0,2465.0,282.0,354.0,-20.3,False,Underpriced
Pending,Lauderdale Villas,Single Family,299900.0,1252.0,240.0,300.0,-20.2,False,Underpriced
Active,Regency House Co Op,Condo,239000.0,858.0,279.0,348.0,-20.0,False,Underpriced
Active,Sutton Place,Condo,159900.0,580.0,276.0,344.0,-20.0,False,Underpriced
Active,Reserve Edgewood Edge On,Townhouse,580000.0,1921.0,302.0,377.0,-19.9,False,Underpriced
Active,Tradewinds By Sea Con,Condo,498900.0,1350.0,370.0,461.0,-19.8,False,Underpriced
Active,Harbor Haven,Condo,369000.0,795.0,464.0,579.0,-19.8,True,Underpriced
