street,neighborhood,geo_type,sold_ppsf,model_ppsf,premium_vs_nbhd,waterfront_share,median_price,n_sold,n_active
N New River Dr E,Watergarden,Intracoastal / canal waterfront,589.0,624.0,3.0,0.93,792500,28,4
NE 28th Dr,Tropical Manors,Mainland inland,588.0,549.0,0.0,0.43,965000,7,2
Bayview Dr,Coral Ridge Galt,Barrier island / beach,588.0,602.0,-16.0,0.5,1151500,24,7
NE 20th Ave,Coral Point,Intracoastal / canal waterfront,586.0,615.0,2.0,0.67,1031750,6,3
N Victoria Park Rd,Victoria Park,Mainland inland,584.0,574.0,-0.9,0.03,1135000,30,8
NE 17th Ave,Victoria Park,Mainland inland,582.0,536.0,-1.4,0.11,900000,36,11
Poinsettia Dr,Poinsettia Heights,Intracoastal / canal waterfront,576.0,593.0,10.0,0.5,1065000,6,0
NE 17th St,Coral Ridge,Mainland inland,575.0,510.0,-27.5,0.27,800000,11,7
NE 24th St,Coral Point,Intracoastal / canal waterfront,575.0,564.0,0.2,0.46,920000,13,7
Guava Isle,South New River Isles,Finger-isle waterfront,574.0,683.0,-19.7,1.0,1028750,7,2
Cordova Rd,Lauderdale Harbors,Intracoastal / canal waterfront,569.0,809.0,-33.8,0.57,1298000,7,2
NE 6th Ln,Highland Estates,Mainland inland,565.0,468.0,17.3,0.0,617500,4,0
NE 17th Ter,Progresso,Mainland inland,559.0,513.0,36.5,0.08,867500,26,13
SW 5th Pl,Gill Isles,Finger-isle waterfront,558.0,692.0,3.5,1.0,1037500,4,1
NE 21st St,Petite,Mainland inland,556.0,679.0,3.7,0.2,1390000,5,2
NE 27th St,Middle River Estates,Mainland inland,555.0,542.0,0.7,0.12,802000,16,3
Las Olas Cir,Venetian Condominium,Barrier island / beach,553.0,621.0,-1.2,0.94,775000,17,8
NE 18th St,Coral Ridge,Mainland inland,546.0,467.0,-31.1,0.14,690000,21,10
NW 22nd St,Hillbrook,Mainland inland,546.0,472.0,20.8,0.25,865000,4,0
NE 15th St,Coral Ridge,Intracoastal / canal waterfront,546.0,537.0,-31.1,0.53,1075000,17,8
SW 13th St,Croissant Park,Mainland inland,542.0,467.0,12.0,0.0,520000,5,0
NE 13th Ave,Progresso,Mainland inland,540.0,453.0,31.9,0.0,1290000,15,7
NE 14th Ct,Lauder Gate Isles,Mainland inland,536.0,641.0,-18.4,0.4,715000,5,3
SE 12th Way,Lauderdale Harbors,Mainland inland,532.0,668.0,-38.1,0.2,1200000,5,4
N Birch Rd,Tiffany House,Barrier island / beach,530.0,556.0,-38.0,0.47,530000,32,23
Barbara Dr,Harbor Beach,Barrier island / beach,526.0,787.0,-42.9,0.25,1707500,4,0
SE 2nd Ct,Colee Hammock,Mainland inland,524.0,486.0,-23.7,0.0,970000,8,8
SW 5th St,Gill Isles,Finger-isle waterfront,524.0,578.0,-2.7,1.0,835000,6,1
NE 27th Dr,Coral Estates,Mainland inland,518.0,507.0,6.3,0.17,799500,12,3
NE 17th Way,Victoria Park,Mainland inland,514.0,516.0,-12.9,0.02,997000,44,12
E Las Olas Blvd,Las Olas,Intracoastal / canal waterfront,510.0,558.0,-18.7,0.73,740000,48,22
W Las Olas Blvd,Symphony,Intracoastal / canal waterfront,506.0,515.0,-0.5,0.9,629500,40,8
Coral Gardens Dr,Coral Gardens,Intracoastal / canal waterfront,505.0,580.0,0.0,0.5,888154,10,2
NE 26th St,Coral Ridge Galt,Mainland inland,505.0,516.0,-28.0,0.11,693000,18,9
NE 9th Ter,Highland Estates,Mainland inland,504.0,470.0,4.7,0.0,569000,5,0
NE 26th Dr,Coral Gardens,Mainland inland,502.0,513.0,-0.6,0.0,750000,11,1
NE 16th Ter,Progresso,Mainland inland,494.0,444.0,20.6,0.0,900000,30,9
SE 8th Ave,Venezia Las Olas,Intracoastal / canal waterfront,491.0,618.0,0.0,0.86,645000,7,2
