street,neighborhood,geo_type,sold_ppsf,model_ppsf,premium_vs_nbhd,waterfront_share,median_price,n_sold,n_active
NE 33rd Ave,White Egret,Barrier island / beach,321.0,426.0,0.0,0.23,345000,26,4
NW 18th St,Lauderdale Villas,Mainland inland,321.0,320.0,4.9,0.0,419000,11,1
NW 9th Ave,Jenada Villas,Mainland inland,319.0,390.0,-15.6,0.0,482450,8,3
NW 15th St,Lauderdale Manors,Mainland inland,319.0,332.0,-4.8,0.0,356500,6,3
SW 12th St,Rio Nuevo,Intracoastal / canal waterfront,315.0,308.0,8.6,0.88,310000,17,17
NW 13th Ct,Lauderdale Manors,Mainland inland,312.0,333.0,-6.9,0.0,335000,5,5
NE 8th Ter,Middle River Homes,Intracoastal / canal waterfront,312.0,336.0,1.1,0.5,245000,8,2
NW 19th Ave,Dorsey Park Th,Mainland inland,308.0,344.0,1.5,0.0,363950,12,1
NE 18th Ct,Camelot Shores,Intracoastal / canal waterfront,308.0,368.0,0.0,0.89,222222,9,1
NW 11th St,Lauderdale Manor,Mainland inland,306.0,312.0,-5.6,0.0,379500,6,1
N Federal Hwy,East Point Towers,Intracoastal / canal waterfront,305.0,374.0,42.5,0.53,400000,40,13
NW 15th Ter,Lauderdale Manors,Mainland inland,299.0,338.0,-10.7,0.0,390000,7,5
Holly Heights Dr,Fusion Gardens,Mainland inland,299.0,297.0,-2.4,0.0,265000,13,5
Miami Rd,Harbordale,Mainland inland,299.0,306.0,-5.8,0.0,179350,6,1
NW 14th Ct,Lauderdale Manors,Mainland inland,298.0,338.0,-10.9,0.0,345000,10,0
E Sunrise Blvd,Gallery One,Intracoastal / canal waterfront,293.0,276.0,21.6,0.84,160000,49,29
NE 5th Ter,River Manor,Mainland inland,286.0,300.0,2.5,0.33,267555,40,8
NE 2nd Ave,Manor Grove Village Four,Mainland inland,282.0,281.0,6.8,0.0,305000,23,5
SW 11th Pl,Valentines,Mainland inland,280.0,509.0,-14.8,0.0,588000,4,1
SW 14th Ave,Grove River Oaks,Mainland inland,280.0,329.0,1.3,0.06,402500,18,1
N Andrews Ave,Drake Tower,Mainland inland,276.0,300.0,8.9,0.38,221500,32,18
E Oakland Park Blvd,Three Rivers East,Intracoastal / canal waterfront,272.0,368.0,1.5,0.71,173500,7,4
N Andrews Sq,Hidden Harbor,Intracoastal / canal waterfront,271.0,276.0,5.0,1.0,264500,7,0
NE 8th Ct,Gateway Arms,Mainland inland,269.0,344.0,0.0,0.0,215340,5,1
N Dixie Highway,Wisteria Court,Mainland inland,268.0,302.0,14.3,0.25,285500,4,1
NE 19th Ct,Manor Grove Village Two,Mainland inland,264.0,280.0,-12.3,0.07,242500,28,15
SW 18th Ter,Marina Oaks,Mainland inland,264.0,273.0,1.7,0.15,230000,20,9
River Reach Dr,River Reach,Intracoastal / canal waterfront,264.0,294.0,-1.1,0.84,306750,50,36
NE 11th St,Horizon House,Mainland inland,262.0,347.0,6.7,0.0,222000,12,5
NW 3rd Ter,Hidden Harbor,Intracoastal / canal waterfront,260.0,278.0,0.8,1.0,253500,4,0
NW 11th Ct,Lauderdale Manors,Mainland inland,254.0,328.0,-24.0,0.0,337500,6,1
N Dixie Hwy,Lauderdale Park,Mainland inland,250.0,385.0,-45.5,0.2,240000,5,1
SW 13th Ter,Village Sailboat Bend,Mainland inland,241.0,271.0,-11.7,0.0,357500,14,1
Antioch Ave,Beach Ridge Apts Co Op Beach Ridge,Barrier island / beach,240.0,405.0,2.6,0.0,200000,6,3
NW 30th Ct,Wilton Shores,Intracoastal / canal waterfront,216.0,254.0,2.6,0.57,195000,14,7
Tennis Club Dr,Lauderdale Tennis Club,Mainland inland,207.0,204.0,1.7,0.36,235000,25,10
NW 19th St,Tennis Club Ii,Mainland inland,200.0,220.0,26.2,0.0,157000,7,5
