rank,neighborhood,geo_type,norm_ppsf,vs_city_pct,waterfront_ppsf,dry_ppsf,new_premium_pct,median_sale_price,median_discount_pct,dom,appreciation_since_2020,failure_rate,n_high_ticket,n_over_10m,n_live_repriced,asking_ppsf,should_be_ppsf,ask_vs_sold_pct,ht_listed_total,ht_suggested_total,suggested_adjust_pct,sold_n
65,Marina Oaks,Mainland inland,239.2,-48.6,,260.4,,198400,3.0,,,39.1,0,0,7.0,303.0,260.0,16.5,,,-14.2,14
66,Villa Medici,Mainland inland,229.4,-50.7,,254.0,,535000,2.18,,,60.0,0,0,,,,,,,,12
67,Village Sailboat Bend,Mainland inland,229.3,-50.7,,273.1,,265000,4.05,,,30.3,0,0,5.0,282.0,273.0,3.3,,,-3.2,23
68,Club Resort Residence,Barrier island / beach,224.1,-51.8,342.3,,,233750,6.33,,,69.9,0,0,3.0,459.0,340.0,34.8,,,-25.9,22
69,River Manor,Mainland inland,223.3,-52.0,282.8,275.0,,245000,3.42,,,37.2,0,0,3.0,319.0,279.0,14.3,,,-12.5,27
70,River Shores,Intracoastal / canal waterfront,218.5,-53.0,304.2,,,195000,5.28,,,70.0,0,0,9.0,315.0,300.0,5.0,,,-4.8,15
71,River Reach,Intracoastal / canal waterfront,213.5,-54.1,266.7,261.1,,309250,6.29,,,56.1,0,0,36.0,320.0,266.0,19.9,,,-16.9,54
72,Drake Tower,Intracoastal / canal waterfront,210.4,-54.8,276.1,241.9,,197000,5.45,,,50.0,0,0,5.0,215.0,254.0,-15.4,,,18.1,13
73,Gallery One,Intracoastal / canal waterfront,171.9,-63.1,248.6,,,139900,5.04,,,75.4,0,0,21.0,234.0,241.0,-2.9,,,3.0,29
74,East Point Towers,Intracoastal / canal waterfront,158.6,-65.9,214.8,,,260000,6.69,,,64.3,0,0,13.0,257.0,214.0,20.1,,,-16.7,25
