status,mls,area,address,neighborhood,sub_raw,list_price,sale_price,acre,psqft,lot_desc,zn,style,ptype,waterfront,road,lot_sqft,density,is_dock,acre_band,value,land_ppsf,corner,cul_de_sac,interior,irregular,oversized,flood,east_us1,west_us1
Sold,A11813041,5940 Florida Other,1403 RUTLEDGE,Highlands Park Est,HIGHLANDS PARK EST SEC J,7250.0,7250.0,0.2583,,,,Zoned Residential,Residential,False,,11251.547999999999,Single-family,False,0.25–0.5 ac,7250.0,0.6443557810889666,False,False,False,False,False,False,False,False
Sold,R11117928,5990 Global Outside US,0 Hickory Nut Trail Trail,St Johns Riverside Estates,ST JOHNS RIVERSIDE ESTATES,7000.0,7000.0,0.28,,1/4 To Less Than 1/2 Acre Lot,res,,Unimproved Agri/Recreatn/Moblhome,False,,12196.800000000001,Single-family,False,0.25–0.5 ac,7000.0,0.573921028466483,False,False,False,False,False,False,False,False
Sold,A11838986,5940 Florida Other,0 McCALL ST,Interlachen Lakes Estates,INTERLACHEN LAKES ESTATES,7000.0,7000.0,0.31,13397.0,,,Zoned Residential,Residential,False,,13397.0,Single-family,False,0.25–0.5 ac,7000.0,0.5225050384414421,False,False,False,False,False,False,False,False
Sold,R11109223,5940 Florida Other,512 Oakcrest Drive,Interlachen Villas,INTERLACHEN VILLAS,8100.0,8100.0,0.25,,1/4 To Less Than 1/2 Acre Lot,RES,,Unimproved Agri/Recreatn/Moblhome,False,,10890.0,Single-family,False,0.25–0.5 ac,8100.0,0.743801652892562,False,False,False,False,False,False,False,False
Sold,A11894551,5940 Florida Other,0 NE 62ND ST,Oak Ridge Estates,OAK RIDGE ESTATES,7000.0,7000.0,0.23,10019.0,,,Zoned Residential,Residential,False,,10019.0,Single-family,False,< 0.25 ac,7000.0,0.6986725222078052,False,False,False,False,False,False,False,False
Sold,R11108190,5940 Florida Other,499 Devotion Drive,Sun Lk Lp,SUN N LK LP UNIT 17,6500.0,6500.0,,,Less Than 1/4 Acre Lot,R1,,Single,False,City/County Maintained,,Single-family,False,< 0.25 ac,6500.0,,False,False,False,False,False,False,False,False
Sold,A11839033,5940 Florida Other,109 RANDALL DR,St Johns Riverside Estates,ST JOHNS RIVERSIDE ESTATES,8000.0,8000.0,0.23,10019.0,,,Zoned Residential,Residential,False,,10019.0,Single-family,False,< 0.25 ac,8000.0,0.7984828825232059,False,False,False,False,False,False,False,False
Sold,A11838957,5940 Florida Other,0 McCALL ST,Interlachen Lakes Estates,INTERLACHEN LAKES ESTATES,7000.0,7000.0,0.23,10125.0,,R-2,Zoned Residential,Residential,False,,10125.0,Single-family,False,< 0.25 ac,7000.0,0.691358024691358,False,False,False,False,False,False,False,False
Sold,R11103522,5940 Florida Other,3024 Valerie Boulevard,Sebring Ridge,SEBRING RIDGE SEC A,5000.0,5000.0,0.26,,,R1,,Single,False,"City/County Maintained, Paved Road, Public Road",11325.6,Single-family,False,0.25–0.5 ac,5000.0,0.44147771420498694,False,False,False,False,False,False,False,False
Sold,A11881244,5940 Florida Other,117 E M L KING JR BLVD,Unknown,UNKNOWN,7000.0,7000.0,0.24,10411.0,,,Zoned Residential,Residential,False,,10411.0,Single-family,False,< 0.25 ac,7000.0,0.6723657669772356,False,False,False,False,False,False,False,False
Sold,A11922031,31,4 No Address,Flamingo Village,FLAMINGO VILLAGE RESUB,2700.0,2700.0,0.031,1361.0,,¤0100,Zoned Residential,Residential,False,,1361.0,Single-family,False,< 0.25 ac,2700.0,1.9838354151359294,False,False,False,False,False,False,False,False
Sold,A11935849,5940 Florida Other,XXX Broadway Ave,Lehigh,LEHIGH,5000.0,5000.0,0.42,,,,Zoned Residential,Residential,False,,18295.2,Single-family,False,0.25–0.5 ac,5000.0,0.2732957278411824,False,False,False,False,False,False,False,False
Sold,A11888349,5940 Florida Other,Lot 4 NE 156th Ct,Williston Highlands Golf,WILLISTON HIGHLANDS GOLF &,7000.0,7000.0,0.23,10019.0,Less Than 1/4 Acre Lot,Res,Zoned Residential,Residential,False,"Legal Access Road, City/County Maintained, Public Road",10019.0,Single-family,False,< 0.25 ac,7000.0,0.6986725222078052,False,False,False,False,False,False,False,False
Sold,A11888309,5940 Florida Other,Lot 11 NE 155th Ter,Williston Highlands Golf,WILLISTON HIGHLANDS GOLF &,7000.0,7000.0,0.23,10019.0,Less Than 1/4 Acre Lot,Res,Zoned Residential,Residential,False,"Legal Access Road, City/County Maintained, Public Road",10019.0,Single-family,False,< 0.25 ac,7000.0,0.6986725222078052,False,False,False,False,False,False,False,False
Sold,F10515855,5940 Florida Other,118 N Carolina Dr,St Johns Riverside Estate,ST JOHNS RIVERSIDE ESTATE,7000.0,7000.0,0.46,20038.0,,,Zoned Residential,Residential,False,,20038.0,Single-family,False,0.25–0.5 ac,7000.0,0.3493362611039026,False,False,False,False,False,False,False,False
Sold,A11971236,5940 Florida Other,0 KUDER RANCH RD,Devonwood,DEVONWOOD,6000.0,6000.0,1.22,,,,Zoned Residential,Residential,False,,53143.2,Single-family,False,1–2 ac,6000.0,0.11290249740324257,False,False,False,False,False,False,False,False
Sold,F10506177,5940 Florida Other,112 Hickory Circle,Interlachen Lakes Estates,INTERLACHEN LAKES ESTATES,6000.0,6000.0,0.35,,,,Zoned Residential,Unimproved Agri/Recreatn/Moblhome,False,,15245.999999999998,Single-family,False,0.25–0.5 ac,6000.0,0.39354584809130266,False,False,False,False,False,False,False,False
Sold,R11142344,5940 Florida Other,243 Iowa Avenue,Cooper Lake Estates,COOPER LAKE ESTATES,5900.0,5900.0,0.21,,Less Than 1/4 Acre Lot,R-2,,Single,False,,9147.6,Single-family,False,< 0.25 ac,5900.0,0.6449779177051904,False,False,False,False,False,False,False,False
Sold,R11109201,5940 Florida Other,206 Wales Street,Interlachen Lakes Estates,INTERLACHEN LAKES ESTATES,5000.0,5000.0,0.23,,Less Than 1/4 Acre Lot,R-2,,Unimproved Agri/Recreatn/Moblhome,False,,10018.800000000001,Single-family,False,< 0.25 ac,5000.0,0.4990617638838982,False,False,False,False,False,False,False,False
Sold,A11978620,5940 Florida Other,N/A N/A,,,4500.0,4500.0,1.1,,,,Zoned Residential,Residential,False,,47916.00000000001,Single-family,False,1–2 ac,4500.0,0.0939143501126972,False,False,False,False,False,False,False,False
Sold,A11935874,5940 Florida Other,1203 E 4TH ST,Lehigh Acres,LEHIGH ACRES,4900.0,4900.0,0.35,,,,Zoned Residential,Residential,True,,15245.999999999998,Single-family,False,0.25–0.5 ac,4900.0,0.32139577594123053,False,False,False,False,False,False,False,False
Sold,A11922017,59,2 No Address,Aristotle Phase,ARISTOTLE SUB PHASE I,4500.0,4500.0,0.011,479.0,,¤0101,Zoned Residential,Residential,False,,479.0,Single-family,False,< 0.25 ac,4500.0,9.394572025052192,False,False,False,False,False,False,False,False
Sold,F10544353,5940 Florida Other,0 Holopaw Groves Road,Hp Holopaw,HP215 HOLOPAW,4500.0,4500.0,0.15,6534.0,Less Than 1/4 Acre Lot,Rural,Zoned Residential,Unimproved Agri/Recreatn/Moblhome,False,,6534.0,Single-family,False,< 0.25 ac,4500.0,0.6887052341597796,False,False,False,False,False,False,False,False
Sold,A11970045,50,6200 SW 152nd St,Royal Hrb Yacht Cl Marina,ROYAL HRB YACHT CL MARINA,3400.0,3400.0,0.03,,Less Than 1/4 Acre Lot,¤6200,Boat Dock or Dockominium,Other,True,Other Road,1306.8,Dock,True,< 0.25 ac,3400.0,2.6017753290480563,False,False,False,False,False,False,False,False
Sold,A11961139,22,"3575 Mystic Pointe Dr, Slip 45",Mystic Pointe Marina Cond,MYSTIC POINTE MARINA COND,1600.0,1600.0,0.0,,Less Than 1/4 Acre Lot,¤5000,Boat Dock or Dockominium,Dockominium,True,Public Road,,Dock,True,< 0.25 ac,1600.0,,False,False,False,False,False,False,False,False
Sold,R11072349,5100,3232 Casseekey Island Road,Casseekey Isles Dock Cond,CASSEEKEY ISLAND DOCK COND,2000.0,2000.0,0.0021,,1/4 To Less Than 1/2 Acre Lot,,,,True,,91.476,,False,0.25–0.5 ac,2000.0,21.86365822729459,False,False,False,False,False,False,False,False
