"","MLS # Link","St","Area","Address","","Current Price","ZN","Year Built","Prop Type","Style of Property","Prop Type/Type of Building","Type of Property","Property SqFt","Waterfront Property (Y/N)","Sale Price","#Bays"
"1","F10463044","CS","3600","1801 SE 17th Street","","$305,000","0","","COM/Sale","","Warehouse Space","Commercial","","","$305,000",""
"1","A11696069","CS","3370","1400 E Oakland Park Blvd Unit#108","","$295,000","¤B-1","1972","COM/Sale","","Office Space, Professional","Office","1","No","$295,000",""
"1","F10483757","CS","3160","3015 N Ocean Boulevard Unit#C-101","","$185,000","CB","","COM/Sale","","Office/Warehouse Combination, Office Space, Residential-Single Family, Retail Space, School, Warehouse Space","Commercial","1,938","","$185,000",""
"1","A11727327","CS","3040","2010 NW 6th St","","$10,624","¤NWRAC-MU","","COM/Lease","","Restaurant/Bar","Restaurant/Entertainment","5,200","","$10,624",""
"1","A11617243","CS","3560","728 NW 9th Ave","","$9,500","¤I","1954","COM/Lease","","Industrial","Industrial","10,125","","$9,500",""
"1","A12018855","CS","3370","100 E OAKLAND PARK BLVD Unit#100","","$7,750","","","COM/Lease","Commercial Retail","Retail Space, Shopping Center","Retail","40,000","","$7,750",""
"1","A11732635","CS","3040","3296 NW 9th Ave","","$6,500","¤PRZD","1982","COM/Lease","","Church, Free Standing","Retail","11,083","","$6,500",""
"1","A11808816","CS","3800","1318 SE 2nd Ave","","$6,000","¤ROA","1966","COM/Lease","","Office Space","Office","9,360","No","$6,000",""
"1","A11968233","CS","3250","2727 E Oakland Park Blvd Unit#100","","$4,500","¤CB","1972","COM/Lease","","Medical Office, Office Space","Office","15,005","","$4,500",""
"1","A11989969","CS","3460","809-813 NW 1st St","","$6,000","¤B-3","1958","COM/Lease","","Industrial, Warehouse Space","Industrial","14,000","","$6,000",""
"1","A11606299","CS","3560","728 NW 9th Ave","","$4,500","¤I","1954","COM/Lease","","Industrial","Industrial","10,125","","$4,500",""
