"","MLS # Link","St","Area","Address","","Current Price","ZN","Year Built","Prop Type","Style of Property","Prop Type/Type of Building","Type of Property","Property SqFt","Waterfront Property (Y/N)","Sale Price","#Bays"
"1","B26041396","A","3380","815 NE 13th Street Unit#(combined, A+b)","","$21,375","CB","1961","COM/Lease","","Adult Congregate, Convenience Store, Restaurant/Bar, Retail Space, School, Special Purpose, Tavern/Bar","Mixed Use","","","",""
"1","F10551820","A","3260","1130 Bayview Drive","","$21,315","RS-4.4","","COM/Lease","","Warehouse Space","Commercial","17,827","","",""
"1","B26041421","A","3380","815 NE 13th Street Unit#Rear","","$11,445","CB","1961","COM/Lease","","Adult Congregate, Convenience Store, Restaurant/Bar, Retail Space, School, Special Purpose, Tavern/Bar","Mixed Use","","","",""
"1","A11910237","A","3480","2901 SW 3rd Ave Unit#4"," ","$10,663","¤I","2000","COM/Lease","","Dock Height Building, Industrial","Industrial","5,170","","",""
"1","B26041406","A","3380","815 NE 13th Street Unit#Front ","","$9,930","CB","1961","COM/Lease","","Adult Congregate, Convenience Store, Restaurant/Bar, Retail Space, School, Special Purpose, Tavern/Bar","Mixed Use","","","",""
"1","A12014178","A","3700","721 NE 3rd Ave Unit#A"," ","$9,290","¤RAC-UV","1987","COM/Lease","","Office Space, Professional","Office","9,368","","",""
"1","B26016137","A","3360","3333 N Federal Highway Unit#Unit A"," ","$7,704","B-1","2024","COM/Lease","","","Retail","","","",""
"1","F10524505","A","3130","21 W Las Olas Boulevard","","$7,500","","","COM/Lease","","Office/Warehouse Combination, Office Space, Warehouse Space","Office","9,034","","",""
"1","A12020538","A","3800","1327 SE 2nd Ave","","$5,900","¤ROA","1976","COM/Lease","Commercial Office","Free Standing, Office Space","Office","9,289","No","",""
"1","B26036365","A","3260","2888 E Oakland Park Boulevard Unit#101","","$5,500","Com Business","1973","COM/Lease","","Office/Warehouse Combination, Office Space, Retail Space, School","Mixed Use","","","",""
"1","A11933690","A","3250","2740 E Oakland Park Blvd Unit#300"," ","$5,178","¤CB","1983","COM/Lease","","Office Space, Professional","Office","15,000","","",""
"1","A12016176","A","3250","2740 E Oakland Park Blvd Unit#207","","$5,035","¤CB","1983","COM/Lease","","Office Space, Professional","Office","15,000","","",""
"1","F10532951","A","3370","1527 NE 4th Avenue"," ","$4,495","CB","","COM/Lease","","Office/Warehouse Combination, Office Space, Warehouse Space","Commercial","6,255","","",""
"1","F10549437","A","3370","888 E Oakland Park Boulevard"," ","$4,375","B-1","","COM/Lease","","Mall Enclosed, Retail Space, School, Shopping Center, Strip Store","Commercial","16,545","","",""
"1","B26010101","A","3810","713 NW 6th Avenue"," ","$4,195","I","1953","COM/Lease","","Warehouse Space","Industrial","","","",""
"1","A11950492","A","3280","2233 S Federal Hwy Unit#2223"," ","$4,000","¤B-1","1975","COM/Lease","","Office Space, Retail Space","Retail","16,873","","",""
"1","A11968260","A","3250","2727 E Oakland Park Blvd Unit#200"," ","$3,960","¤CB","1972","COM/Lease","","Medical Office, Office Space","Office","15,005","","",""
"1","A12016150","A","3250","2727 E Oakland Park Blvd Unit#305","","$3,546","¤CB","1972","COM/Lease","","Office Space, Professional","Office","15,005","","",""
"1","B26023971","A","3370","1881 NE 26th Street Unit#80","","$3,500","B-2","1973","COM/Lease","","Office/Warehouse Combination, Office Space","Office","","","","0"
"1","F10548079","A","3380","1790 N Andrews Square","","$3,500","CB","","COM/Lease","","Mall Enclosed, Retail Space, School, Shopping Center, Strip Store","Commercial","6,511","","",""
"1","F10549258","A","3370","1732 NE 26th Street Unit#202","","$3,450","B-2","","COM/Lease","","Office/Warehouse Combination, Office Space","Commercial","22,363","","",""
"1","A11894670","A","3250","2727 E Oakland Park Blvd Unit#203"," ","$3,266","¤CB","1972","COM/Lease","","Office Space, Professional","Office","15,000","","",""
"1","F10556440","A","3390","2315 N Andrews Avenue Unit#2315","","$3,250","B-2","","COM/Lease","","Mall Enclosed, Office/Warehouse Combination, Office Space, Retail Space, School, Shopping Center, Strip Store, Warehouse Space","Commercial","0","","",""
"1","A12013293","A","3090","2406 E Oakland Park Blvd","","$3,200","¤B-1","1956","COM/Lease","","Office Space","Office","2,020","No","",""
"1","F10556048","A","3260","3038 N Federal Highway Unit#1st Floor","","$3,200","B-1","","COM/Lease","","Mall Enclosed, Office/Warehouse Combination, Office Space, Retail Space, School, Shopping Center, Strip Store, Warehouse Space","Retail","1,000","","",""
"1","F10556046","A","3260","3020 N Federal Highway Unit#6","","$3,200","B-1","","COM/Lease","","Mall Enclosed, Office/Warehouse Combination, Office Space, Retail Space, School, Shopping Center, Strip Store, Warehouse Space","Retail","1,000","","",""
"1","B26044721","A","3250","2631 E Oakland Park Boulevard Unit#110","","$3,167","CB","1964","COM/Lease","","Office/Warehouse Combination, Office Space, Retail Space, School","Office","","","",""
"1","A12016185","A","3250","2740 E Oakland Park Blvd Unit#208","","$3,160","¤CB","1983","COM/Lease","","Office Space, Professional","Office","15,000","","",""
"1","A12042840","A","3370","1255 N flagler","","$3,000","","","COM/Lease","","Church, Consumer Service","Flex Space","10,000","No","",""
"1","B26044568","A","5940 Florida Other","441 NE 5th Avenue Unit#5","","$3,000","RAC-CC","2007","COM/Lease","","Consumer Service, Office/Warehouse Combination, Office Space, Professional, Retail Space, School","Retail","","","",""
"1","B26028601","A","3500","600 SW 4th Avenue"," ","$2,950","RAC-SMU","1982","COM/Lease","","Consumer Service, Office/Warehouse Combination, Office Space, Professional","Commercial","","","",""
"1","B26016896","A","3160","3015 N Ocean Boulevard Unit#C122"," ","$2,600","CB","1974","COM/Lease","","Residential-Single Family, Warehouse Space","Mixed Use","","","",""
"1","A11926557","A","3250","2727 E Oakland Park Blvd Unit#303"," ","$2,600","¤CB","1972","COM/Lease","","Office Space, Professional","Office","15,005","","",""
"1","A12001900","A","3150","2429 Davie Blvd Unit#Unit 2"," ","$2,500","¤CB","1965","COM/Lease","","Office Space, Retail Space","Retail","5,947","","",""
"1","F10556047","A","3260","3020 N Federal Highway Unit#6 - 2nd FLOOR","","$2,500","B-1","","COM/Lease","","Mall Enclosed, Office/Warehouse Combination, Office Space, Retail Space, School, Shopping Center, Strip Store, Warehouse Space","Commercial","1,000","","",""
