"","MLS # Link","St","Area","Address","","Current Price","ZN","Year Built","Prop Type","Style of Property","Prop Type/Type of Building","Type of Property","Property SqFt","Waterfront Property (Y/N)","Sale Price","#Bays"
"1","F10440942","C","3250","2715 E Oakland Park Boulevard Unit#100","","$1,950","CB","","COM/Lease","","Office/Warehouse Combination, Office Space, Retail Space, School, Warehouse Space","Commercial","7,502","","",""
"1","F10482553","C","3560","2151 NW 6th Street","","$1,850","CB","","COM/Lease","","Office/Warehouse Combination, Office Space, Warehouse Space","Commercial","4,772","","",""
"1","F10485011","C","3100","701 SE 32 Court Unit#205","","$1,800","B3","","COM/Lease","","Office/Warehouse Combination, Office Space, Warehouse Space","Office","","","",""
"1","A11807525","C","3370","120 East Oakland Park Boulevard Unit#107","","$1,800","B-2","1974","COM/Lease","Commercial Office","Office Space, Professional","Mixed Use","19,998","No","",""
"1","A11610411","C","3150","3025 N Ocean Blvd Unit##6","","$1,650","¤CB","1951","COM/Lease","","Office Space, Retail Space","Retail","9,047","No","",""
"1","F10485351","C","3260","2400 E Oakland Park Boulevard","","$1,600","","","COM/Lease","","Mall Enclosed, Office/Warehouse Combination, Office Space, Retail Space, School, Shopping Center, Strip Store, Warehouse Space","Commercial","","","",""
"1","F10398362","C","3480","111 SW 12th Street","","$1,500","SA-RAC","","COM/Lease","","Office/Warehouse Combination, Office Space, Retail Space, School, Warehouse Space","Retail","8,151","","",""
"1","F10458702","C","3700","441 NE 3rd Avenue Unit#208","","$1,400","RAC-CC","","COM/Lease","","Office/Warehouse Combination, Office Space, Retail Space, School, Warehouse Space","Commercial","42,875","","","0"
"1","R11098242","C","3130","2631 E Oakland Park Boulevard Unit#105b","","$1,300","CB","1964","COM/Lease","","","","","No","",""
"1","A11752065","C","3390","2307 N Andrews Ave","","$1,300","¤B-2","1966","COM/Lease","Commercial Lease","Office Space, Professional","Office","25,366","No","",""
"1","F10448914","C","3700","441 NE 3rd Avenue Unit#205","","$1,175","RAC-CC","","COM/Lease","","Office/Warehouse Combination, Office Space, Retail Space, School, Warehouse Space","Commercial","42,875","","","0"
"1","A11767571","C","3130","Down town Las Olas","","$1,100","","","COM/Lease","","Office Space","Office","150","","",""
"1","F10457185","C","3380","1200 NE 7th Avenue","","$1,000","B-3","","COM/Lease","","Office/Warehouse Combination, Office Space, Warehouse Space","Mixed Use","1,258","","",""
"1","A11231196","C","3500","1901 S Andrews Ave","","$999","Bus","1986","COM/Lease","Commercial Office","Office Space","Office","12,974","No","",""
"1","A11624100","C","3250","2691 E Oakland Park Blvd","","$848","","","COM/Lease","","Medical Office, Office Space","Office","15,000","","",""
"1","A11899826","C","3500","150 SE 12th St","","$700","¤RO","1975","COM/Lease","","Medical Office, Office Space","Office","13,664","","",""
"1","F10501588","C","3480","2000 S Federal Highway Unit#D","","$50","B-1","","COM/Lease","","Retail Space, School, Warehouse Space","Retail","16,875","","",""
"1","F10501587","C","3480","2000 S Federal Highway","","$50","B-1","1968","COM/Sale","","Retail Space, School, Warehouse Space","Retail","16,875","","",""
"1","F10494020","C","3560","719 NE 2nd Avenue","","$50","RAC-UV","","COM/Lease","","Office/Warehouse Combination, Office Space, Retail Space, School, Warehouse Space","Retail","6,375","","",""
"1","F10446634","C","3370","2136 E Oakland Park Boulevard Unit#2136","","$48","B-1","","COM/Lease","","Warehouse Space","Retail","3,429","","","0"
"1","F10486631","C","3380","702-704 NE 1st Avenue","","$45","RAC-UV","","COM/Lease","","Retail Space, School, Warehouse Space","Commercial","11,156","","",""
"1","F10542269","C","3360","3061 N Federal Highway","","$40","","","COM/Lease","","Warehouse Space","Commercial","","","",""
"1","F10496808","C","3370","1416 NE 4th Avenue","","$40","CB","","COM/Lease","","Office/Warehouse Combination, Office Space, Retail Space, School, Warehouse Space","Retail","6,248","","",""
"1","A11647486","C","3490","350 SW 25th St","","$35","¤B-2","1987","COM/Lease","","Restaurant/Bar, Retail Space","Mixed Use","32,680","","",""
"1","F10494022","C","3700","700 N Andrews Avenue","","$35","NWRAC-MUe","","COM/Lease","","Retail Space, School, Warehouse Space","Retail","13,720","","",""
"1","F10440621","C","3800","201 SE 2nd Street","","$35","RAC-CC","","COM/Lease","","Office/Warehouse Combination, Office Space","Commercial","6,997","","",""
"1","F10419781","C","3800","1133 SE 4th Avenue","","$35","ROA","","COM/Lease","","Office/Warehouse Combination, Office Space","Commercial","7,000","","",""
"1","F10454187","C","3460","701 NW 5th Avenue Unit#1040","","$34","Restaurant","","COM/Lease","","Office/Warehouse Combination, Office Space, Retail Space, School","Commercial","60,749","","",""
"1","F10514310","C","3370","1471 NE 26th Street","","$32","TOC EAST","","COM/Lease","","Office/Warehouse Combination, Office Space, Retail Space, School, Warehouse Space","Retail","25,944","","",""
"1","F10494006","C","3560","1229-1231 NE 9th Avenue Unit#1231","","$30","B-3","","COM/Lease","","Retail Space, School, Warehouse Space","Mixed Use","","","",""
"1","F10411532","C","3130","2655 E Oakland Park Boulevard","","$29","","","COM/Lease","","Warehouse Space","Commercial","","","",""
"1","F10455374","C","3370","2132 E Oakland Park Boulevard","","$28","B-1","","COM/Lease","","Mall Enclosed, Office/Warehouse Combination, Office Space, Retail Space, School, Shopping Center, Strip Store, Warehouse Space","Commercial","3,429","","",""
"1","A11768897","C","3490","350 SW 25th St","","$28","¤B-2","1987","COM/Lease","","Free Standing, Medical Office","Mixed Use","32,680","","",""
"1","F10524049","C","3370","1201 NE 26th Street Unit#101","","$28","PUD-M","","COM/Lease","","Office/Warehouse Combination, Office Space, Retail Space, School, Warehouse Space","Commercial","","","",""
"1","F10418794","C","3800","200 S Andrews Avenue Unit#201","","$26","RAC-CC,MEDICAL","","COM/Lease","","Medical Office, Office/Warehouse Combination, Office Space, Residential-Single Family, Warehouse Space","Commercial","","","",""
"1","F10418807","C","3800","200 S Andrews Avenue Unit#3rd floor","","$26","","","COM/Lease","","Office/Warehouse Combination, Office Space, Warehouse Space","Commercial","","","",""
"1","R11023016","C","3370","1800 NE 26th Street","","$25","B-2","1961","COM/Lease","","","Special Purpose","","Yes","",""
"1","A11985434","C","3800","200 S Andrews Ave Unit#503","","$25","¤RAC-CC","1986","COM/Lease","Commercial Office","Condominium, Office Space","Office","2,400","No","",""
"1","A11900068","C","3800","200 S Andrews Ave Unit#503","","$25","¤RAC-CC","1986","COM/Lease","Commercial Office","Condominium, Office Space","Office","2,400","No","",""
"1","A11810199","C","3800","200 S Andrews Ave Unit#602","","$25","¤RAC-CC","1986","COM/Lease","","Office Space, Professional","Office","3,300","","",""
"1","F10499338","C","3800","200 S Andrews Avenue Unit#3rd floor","","$25","","","COM/Lease","","Office/Warehouse Combination, Office Space, Warehouse Space","Commercial","","","",""
"1","F10424646","C","3460","701 NW 5th Avenue Unit#1101","","$23","Flex","","COM/Lease","","Office/Warehouse Combination, Office Space, Retail Space, School","Mixed Use","60,749","","",""
"1","F10423474","C","3460","701 NW 5th Avenue Unit#1131","","$23","Flex","","COM/Lease","","Office/Warehouse Combination, Office Space, Retail Space, School","Mixed Use","60,749","","",""
"1","F10487627","C","3380","837 NW 8th Avenue","","$20","I","","COM/Lease","","Heavy Manufacturing, Light Manufacturing, Warehouse Space","Industrial","10,125","","",""
"1","A11931699","C","3280","1845 Cordova Rd Unit#203","","$18","¤PEDD","2005","COM/Lease","Commercial Lease","Professional, Shopping Center","Office","245,865","No","",""
"1","F10448201","C","3460","701 NW 5th Avenue Unit#1061","","$18","Flex","","COM/Lease","","Office/Warehouse Combination, Office Space, Retail Space, School","Mixed Use","60,749","","",""
"1","R11013017","C","3400","1919 NW 19 Street Unit#201","","$15","I","1977","COM/Lease","","","Industrial","","","",""
"1","F10441635","T","3460","1448 NW 6th Street","","$1,000,000","","","COM/Sale","","Warehouse Space","Mixed Use","","","",""
"1","F10511940","T","3800","11 SE 13th Street","","$850,000","RMM-25","1922","COM/Sale","","","Mixed Use","6,250","","",""
"1","F10540595","T","3260","2455 E Sunrise Boulevard Unit#CU-4I","","$366,330","B-1","1973","COM/Sale","","","Commercial","","","",""
"1","F10540589","T","3260","2455 E Sunrise Boulevard Unit#CU-4G","","$236,250","B-1","1973","COM/Sale","","","Commercial","","","",""
"1","F10540593","T","3260","2455 E Sunrise Boulevard Unit#CU-4H","","$233,550","B-1","1973","COM/Sale","","","Commercial","","","",""
"1","B26010620","T","3500","503 SW 2nd Avenue","","$3,000","RAC-SMU","1953","COM/Lease","","Office/Warehouse Combination, Office Space, Retail Space, School","Office","","","",""
"1","F10554796","T","3260","2900 E Oakland Park Boulevard Unit#300-4","","$1,199","","","COM/Lease","","Office/Warehouse Combination, Office Space, Warehouse Space","Office","12,669","","",""
"1","F10534060","T","3560","101 NE 3rd Avenue","","$450","","","COM/Lease","","Office/Warehouse Combination, Office Space","Office","37,500","","",""
"1","A11890728","W","3500","201 SW 21st St","","$3,395,000","¤RM-15","1959","COM/Sale","","Mini Warehouse, Warehouse Space","Industrial","20,827","","","15"
"1","A11851127","W","30","2826 E Oakland Park Blvd","","$2,800,000","","","COM/Sale","Commercial Office","Medical Office, Office Space","Office","7,505","No","","1"
"1","B26014880","W","3460","821 NW 10th Terrace","","$2,625,000","RMM-25","1957","COM/Sale","","","Multifamily","","","",""
"1","B26001982","W","3810","705 NW 8th Avenue","","$2,599,000","I","1956","COM/Sale","","Industrial, Office/Warehouse Combination, Office Space, Warehouse Space","Industrial","","","","5"
"1","F10556540","W","3560","1210 NE 8th Avenue","","$2,198,672","B-3","1967","COM/Sale","","Office/Warehouse Combination, Office Space, Warehouse Space","Mixed Use","6,378","","",""
"1","A11977975","W","3560","1210 NE 8th Ave","","$2,198,672","¤B-3","1967","COM/Sale","","Office/Warehouse Combination","Flex Space","6,378","","",""
"1","F10541814","W","3470","301 SW 14th Way","","$1,280,000","RS-8","1976","COM/Sale","","","Multifamily","8,652","","",""
"1","F10541816","W","3470","311 SW 14th Way","","$950,000","RS-8","","COM/Sale","","","Multifamily","7,070","","",""
"1","F10469040","W","3360","3101 N Federal Highway Unit#700","","$24,375","PRZD","","COM/Lease","","Mall Enclosed, Office/Warehouse Combination, Office Space, Shopping Center, Strip Store, Warehouse Space","Commercial","","","",""
"1","F10469036","W","3360","3101 N Federal Highway Unit#300","","$12,375","PRZD","","COM/Lease","","Mall Enclosed, Office/Warehouse Combination, Office Space, Shopping Center, Strip Store, Warehouse Space","Commercial","","","",""
"1","F10469032","W","3360","3101 N Federal Highway Unit#302","","$7,200","PRZD","","COM/Lease","","Mall Enclosed, Office/Warehouse Combination, Office Space, Shopping Center, Strip Store, Warehouse Space","Commercial","","","",""
