submarket,asset_type,price_band,n,median_ppsf,median_price,median_sqft,share_pct
Area 3560,Mixed Use,$10M+,1,653.0,11250000.0,17220.0,10.0
Area 3560,Retail,$2.5–5M,1,145.0,3900000.0,26836.0,10.0
Area 3570,Multifamily,$2.5–5M,2,212.0,4000000.0,18898.0,100.0
Area 3580,Industrial,< $1M,1,45.0,535000.0,11800.0,25.0
Area 3580,Industrial,$1–2.5M,2,106.0,1250000.0,11800.0,50.0
Area 3580,Industrial,$5–10M,1,466.0,5500000.0,11800.0,25.0
Area 3600,Commercial (other),$1–2.5M,1,142.0,1750000.0,12300.0,6.7
Area 3600,Commercial (other),$10M+,1,219.0,10500000.0,47950.0,6.7
Area 3600,Hotel,$5–10M,1,280.0,6000000.0,21450.0,6.7
Area 3600,Mixed Use,$2.5–5M,1,126.0,4250000.0,33723.0,6.7
Area 3600,Multifamily,$1–2.5M,2,236.0,1644000.0,6977.0,13.3
Area 3600,Multifamily,$5–10M,1,264.0,5295000.0,20020.0,6.7
Area 3600,Office,$1–2.5M,1,177.0,1195000.0,6749.0,6.7
Area 3600,Restaurant,< $1M,1,829.0,995000.0,1200.0,6.7
Area 3600,Retail,< $1M,2,482.0,579000.0,1200.0,13.3
Area 3600,Retail,$1–2.5M,1,306.0,1200000.0,3921.0,6.7
Area 3600,Retail,$2.5–5M,2,292.0,3545000.0,12150.0,13.3
Area 3600,Retail,$5–10M,1,415.0,7000000.0,16875.0,6.7
Area 3650,Restaurant,< $1M,1,57.0,901000.0,15756.0,100.0
Area 3700,Commercial (other),$2.5–5M,1,457.0,3200000.0,6997.0,12.5
Area 3700,Mixed Use,$1–2.5M,1,415.0,1400000.0,3375.0,12.5
Area 3700,Multifamily,$1–2.5M,1,233.0,1500000.0,6440.0,12.5
Area 3700,Multifamily,$2.5–5M,2,408.0,4134000.0,10126.0,25.0
Area 3700,Restaurant,$1–2.5M,1,392.0,2500000.0,6375.0,12.5
Area 3700,Retail,< $1M,1,76.0,950000.0,12496.0,12.5
Area 3700,Retail,$1–2.5M,1,284.0,1600000.0,5625.0,12.5
Area 3720,Multifamily,$1–2.5M,1,94.0,1300000.0,13800.0,50.0
Area 3720,Office,$2.5–5M,1,197.0,3500000.0,17740.0,50.0
Area 3800,Commercial (other),< $1M,7,111.0,665000.0,6840.0,18.4
Area 3800,Commercial (other),$1–2.5M,4,164.0,1625000.0,10650.0,10.5
Area 3800,Commercial (other),$2.5–5M,2,277.0,3648000.0,13358.0,5.3
Area 3800,Commercial (other),$10M+,1,132.0,11900000.0,90193.0,2.6
Area 3800,Industrial,< $1M,1,542.0,905000.0,1671.0,2.6
Area 3800,Mixed Use,< $1M,3,130.0,699000.0,6250.0,7.9
Area 3800,Mixed Use,$1–2.5M,3,138.0,1150000.0,8315.0,7.9
Area 3800,Multifamily,$1–2.5M,1,122.0,1750000.0,14299.0,2.6
Area 3800,Multifamily,$2.5–5M,1,261.0,2500000.0,9566.0,2.6
Area 3800,Office,< $1M,5,117.0,799000.0,6840.0,13.2
Area 3800,Office,$1–2.5M,9,383.0,1700000.0,4540.0,23.7
Area 3800,Restaurant,$5–10M,1,577.0,5000000.0,8664.0,2.6
Area 3810,Commercial (other),$2.5–5M,1,109.0,3450000.0,31542.0,9.1
Area 3810,Commercial (other),$5–10M,4,738.0,5500000.0,8126.0,36.4
Area 3810,Multifamily,< $1M,1,144.0,975000.0,6750.0,9.1
Area 3810,Multifamily,$1–2.5M,4,195.0,2000000.0,10126.0,36.4
Area 3810,Multifamily,$2.5–5M,1,555.0,3749000.0,6750.0,9.1
Area 3990,Multifamily,$5–10M,2,224.0,5900000.0,26399.0,100.0
Unknown,Industrial,$1–2.5M,1,334.0,1725000.0,5170.0,100.0
