mls,address,submarket,asset_type,status,sqft,lease_rate_psf,year_built,annual_rent_est
A12024173,423 SE 19th St,Area 3800,Office,Cancelled,6840.0,7.89,1967.0,54000.0
A11806751,901 NW 11th Ave,Area 3460,Special Purpose,Sold,73433.0,7.75,1990.0,568900.0
A11808816,1318 SE 2nd Ave,Area 3800,Office,Sold,9360.0,7.69,1966.0,72000.0
A12020538,1327 SE 2nd Ave,Area 3800,Office,Active,9289.0,7.62,1976.0,70800.0
A11673464,2500 SW 3rd Ave,Area 3280,Industrial,Expired,5424.0,7.52,1952.0,40800.0
F10489057,100 SE 20th Street,Area 3800,Commercial (other),Expired,6776.0,7.34,,49700.0
A11767560,down town Las olas,Area 3130,Office,Cancelled,350.0,7.14,,2500.0
A11732635,3296 NW 9th Ave,Area 3040,Retail,Sold,11083.0,7.04,1982.0,78000.0
A11879199,929 NE 17th Way,Area 3370,Special Purpose,Expired,20250.0,6.81,,138000.0
A11768887,350 SW 25th St,Area 3490,Mixed Use,Cancelled,32680.0,6.61,1987.0,216000.0
F10498993,1800 NE 26th Street,Area 3370,Commercial (other),Rented,18187.0,6.6,,120000.0
A11956734,200 SE 19th St,Area 3080,Office,Sold,6950.0,6.56,1973.0,45600.0
F10548079,1790 N Andrews Square,Area 3380,Commercial (other),Active,6511.0,6.45,,42000.0
F10412684,8 SE 8th Street,Area 3800,Office,Expired,7000.0,6.43,,45000.0
F10469645,200 SE 19th Street,Area 3800,Mixed Use,Cancelled,6950.0,6.39,,44400.0
A12003177,"901 NW 11th Ave Unit#1-2, 7-9, 15",Unknown,Special Purpose,Sold,73433.0,6.31,1990.0,463000.0
A11949542,801 E Oakland Park Blvd,Area 3450,Mixed Use,Sold,7289.0,6.26,1949.0,45600.0
A11759237,215 SW 17th St,Area 3800,Office,Cancelled,7380.0,6.18,1960.0,45600.0
A11831163,801 E Oakland Park Blvd,Area 3450,Mixed Use,Sold,7289.0,6.09,1949.0,44400.0
A11941150,800 SE 3rd Ave Unit#4-SW Corner,Area 3800,Office,Expired,5050.0,5.94,1987.0,30000.0
A11940200,800 SE 3rd Ave Unit#4-NW Corner,Area 3800,Office,Expired,5050.0,5.94,1987.0,30000.0
A11872397,215 SW 17th St,Area 3500,Office,Sold,7380.0,5.85,1960.0,43200.0
A11573035,831 N Federal Highway Unit#831E,Area 3010,Retail,Cancelled,5162.0,5.81,,30000.0
F10412130,904 NW 9th Avenue,Area 3460,Commercial (other),Expired,10125.0,5.69,,57600.0
A11255914,2400 E Oakland Park Blvd Unit#202,Area 3260,Office,Expired,2000.0,5.58,1956.0,11200.0
A11606299,728 NW 9th Ave,Area 3560,Industrial,Sold,10125.0,5.33,1954.0,54000.0
A11989969,809-813 NW 1st St,Area 3460,Industrial,Sold,14000.0,5.14,1958.0,72000.0
A12001900,2429 Davie Blvd Unit#Unit 2,Area 3150,Retail,Active,5947.0,5.04,1965.0,30000.0
F10437573,900 NE 20th Avenue,Area 3140,Commercial (other),Cancelled,8407.0,5.0,,42000.0
A11591447,3291 N Andrews Ave,Area 3720,Flex,Expired,16375.0,4.98,1997.0,81600.0
A11631399,600 W Oakland Park Blvd,Area 3390,Retail,Expired,10213.0,4.7,1968.0,48000.0
F10494810,620 NE 3rd Street Unit#Upper,Area 3600,Commercial (other),Expired,6440.0,4.66,,30000.0
F10482553,2151 NW 6th Street,Area 3560,Commercial (other),Cancelled,4772.0,4.65,,22200.0
F10494040,2420 N Dixie Highway,Area 3370,Retail,Rented,6110.0,4.52,,27600.0
F10424593,702 NW 6th Avenue,Area 3450,Mixed Use,Expired,6750.0,4.44,,30000.0
A11855316,1026-1030 NW 9th Ave,Area 3424,Retail,Expired,6751.0,4.44,1961.0,30000.0
A11917909,2429 Davie Blvd,Area 3520,Retail,Expired,5947.0,4.44,1965.0,26400.0
F10437712,441-443 SW 5th Street,Area 3470,Mixed Use,Rented,14450.0,4.32,,62400.0
A11793134,1224 SW 1st Ave,Area 3800,Office,Expired,6250.0,4.22,1926.0,26400.0
F10463702,802 NW 10th Terrace Unit#Bay # 2,Area 3460,Commercial (other),Rented,10125.0,4.15,,42000.0
A11933690,2740 E Oakland Park Blvd Unit#300,Area 3250,Office,Active,15000.0,4.14,1983.0,62100.0
F10455923,808 NE 20th Avenue,Area 3270,Commercial (other),Expired,11666.0,4.06,,47400.0
F10514377,599 SW 2nd Avenue,Area 3500,Commercial (other),Rented,4750.0,4.04,,19200.0
A12016176,2740 E Oakland Park Blvd Unit#207,Area 3250,Office,Active,15000.0,4.03,1983.0,60400.0
