mls,address,submarket,asset_type,status,deal_kind,price,sqft,units,price_per_unit,ppsf,pred_ppsf,ppsf_gap_pct,age,year_built,waterfront,bays,zoning,noi,implied_cap,market_cap,assumed_value,income_gap_pct,price_band
F10461212,1133 SE 4th Avenue,Area 3800,Commercial (other),Sold,Sale,1400000.0,7000.0,,,200.0,204.0,-2.0,66.0,1960.0,False,,ROA,94864.0,0.0678,0.07,1355200.0,3.3,$1–2.5M
F10490057,1514 NE 4th Avenue,Area 3700,Retail,Sold,Sale,950000.0,12496.0,,,76.0,110.0,-30.8,65.0,1961.0,False,,CB,206244.0,0.2171,0.0675,3055466.0,-68.9,< $1M
F10466055,2301 S Andrews Avenue,Area 3600,Retail,Sold,Sale,1200000.0,3921.0,,,306.0,284.0,7.9,67.0,1959.0,False,,CB,64715.0,0.0539,0.0675,958745.0,25.2,$1–2.5M
F10494364,2435 N Dixie Highway,Area 3370,Commercial (other),Sold,Sale,1365000.0,11662.0,,,117.0,170.0,-31.0,76.0,1950.0,False,,B-3,158043.0,0.1158,0.07,2257763.0,-39.5,$1–2.5M
A11717708,3031 NE 21st Ter Unit#1-7,Area 3370,Multifamily,Sold,Sale,1200000.0,6003.0,7.0,171400.0,200.0,234.0,-14.7,52.0,1974.0,False,,RMM-25,58911.0,0.0491,0.055,1071110.0,12.0,$1–2.5M
A11821328,2435 N Dixie Hwy,Area 3370,Multifamily,Sold,Sale,1395000.0,11662.0,,,120.0,164.0,-27.1,76.0,1950.0,False,,TOC SOUT,114446.0,0.082,0.055,2080840.0,-33.0,$1–2.5M
A11645293,2420-2426 N Dixie Hwy,Area 3370,Retail,Sold,Sale,1150000.0,6110.0,,,188.0,156.0,20.9,61.0,1965.0,False,4.0,TOC SOUT,100844.0,0.0877,0.0675,1493990.0,-23.0,$1–2.5M
A11927736,1350 NE 5th Ter Unit#1-28,Area 3380,Multifamily,Sold,Sale,6300000.0,35087.0,28.0,225000.0,180.0,119.0,51.1,54.0,1972.0,False,,RM-15,344330.0,0.0547,0.055,6260542.0,0.6,$5–10M
F10322285,1211 NE 4th Avenue,Area 3400,Commercial (other),Sold,Sale,4500000.0,25024.0,,,180.0,117.0,53.8,64.0,1962.0,False,,,339125.0,0.0754,0.07,4844646.0,-7.1,$2.5–5M
F10514756,735 & 745 NE & 745 5th Avenue Unit#1-5,Area 3700,Multifamily,Sold,Sale,3767690.0,10125.0,5.0,753500.0,372.0,183.0,103.4,67.0,1959.0,False,,RAC-UV,99363.0,0.0264,0.055,1806595.0,108.6,$2.5–5M
A12040868,2901 SW 3rd Ave Unit#4,Unknown,Industrial,Sold,Sale,1725000.0,5170.0,,,334.0,302.0,10.4,26.0,2000.0,False,,I,50097.0,0.029,0.0625,801557.0,115.2,$1–2.5M
F10541001,1400 S Federal Highway,Area 3600,Commercial (other),UnderContract,Sale,10500000.0,47950.0,,,219.0,157.0,39.7,35.0,1991.0,False,,B-1,649818.0,0.0619,0.07,9283120.0,13.1,$10M+
A11979422,1143 NE 7th Ave,Area 3380,Mixed Use,UnderContract,Sale,1900000.0,6385.0,,,298.0,295.0,0.9,72.0,1954.0,False,2.0,B-3,59764.0,0.0315,0.0675,885387.0,114.6,$1–2.5M
F10382163,1021 NW 1st Street,Area 3470,Commercial (other),UnderContract,Sale,975000.0,7000.0,,,139.0,249.0,-44.0,69.0,1957.0,False,,,94864.0,0.0973,0.07,1355200.0,-28.1,< $1M
A11841391,848 NW 2nd Ave,Area 3810,Multifamily,UnderContract,Sale,975000.0,6750.0,,,144.0,406.0,-64.4,54.0,1972.0,False,,RMM-25,66242.0,0.0679,0.055,1204396.0,-19.0,< $1M
F10447470,1225 SE 2nd Avenue,Area 3800,Office,UnderContract,Sale,1995000.0,21789.0,,,92.0,70.0,30.6,52.0,1974.0,False,0.0,ROC,346336.0,0.1736,0.08,4329202.0,-53.9,$1–2.5M
F10455534,901 Sunrise Lane,Area 3270,Commercial (other),UnderContract,Sale,2400000.0,1108.0,,,2166.0,831.0,160.7,69.0,1957.0,False,,S-L-A,15016.0,0.0063,0.07,214509.0,1018.8,$1–2.5M
F10546000,1100 NW 4th Street,Area 3480,Commercial (other),UnderContract,Sale,2900000.0,21450.0,,,135.0,172.0,-21.4,59.0,1967.0,False,,RMM-25,290690.0,0.1002,0.07,4152720.0,-30.2,$2.5–5M
A11831403,842 NW 1st Ave,Area 3810,Multifamily,UnderContract,Sale,1900000.0,10126.0,,,188.0,327.0,-42.6,53.0,1973.0,False,,RMM-25,99373.0,0.0523,0.055,1806773.0,5.2,$1–2.5M
A11941918,2001-2007 NW 21st Ave,Area 3560,Mixed Use,UnderContract,Sale,799900.0,11136.0,,,72.0,175.0,-58.9,,,False,0.0,B-2,104233.0,0.1303,0.0675,1544192.0,-48.2,< $1M
F10540017,100 SE 21st Street Unit#1-8,Area 3800,Multifamily,Pending,Sale,1750000.0,14299.0,8.0,218800.0,122.0,183.0,-33.1,49.0,1977.0,False,,RMM-25,140325.0,0.0802,0.055,2551358.0,-31.4,$1–2.5M
A12026991,200 S Andrews Ave Unit#503,Area 3800,Office,Active,Sale,990000.0,2400.0,,,412.0,227.0,81.7,40.0,1986.0,False,,RAC-CC,38148.0,0.0385,0.08,476850.0,107.6,< $1M
A11911133,1083 SE 17th St,Area 3600,Restaurant,Active,Sale,995000.0,1200.0,,,829.0,822.0,0.8,58.0,1968.0,False,,B-1,28512.0,0.0287,0.065,438646.0,126.8,< $1M
F10550299,201 SE 19th Street,Area 3800,Commercial (other),Active,Sale,875000.0,6840.0,,,128.0,280.0,-54.3,66.0,1960.0,False,,17,92696.0,0.1059,0.07,1324224.0,-33.9,< $1M
A11992794,1518-1522 NE 4th Ave,Area 3370,Retail,Active,Sale,750000.0,6248.0,,,120.0,209.0,-42.5,50.0,1976.0,False,,CB,103122.0,0.1375,0.0675,1527733.0,-50.9,< $1M
A12048692,423 SE 19th St,Area 3800,Office,Active,Sale,799000.0,6840.0,,,117.0,130.0,-10.0,59.0,1967.0,False,,RO,108722.0,0.1361,0.08,1359022.0,-41.2,< $1M
A12029539,1026 NW 9th Ave,Area 3424,Retail,Active,Sale,1050000.0,6751.0,,,156.0,206.0,-24.7,65.0,1961.0,False,,B-1,111424.0,0.1061,0.0675,1650725.0,-36.4,$1–2.5M
A12026724,1026 NW 9th Ave,Area 3424,Retail,Active,Sale,1050000.0,6751.0,,,156.0,206.0,-24.7,65.0,1961.0,False,,B-1,111424.0,0.1061,0.0675,1650725.0,-36.4,$1–2.5M
F10532172,3015 N Ocean Boulevard Unit#C1-C8,Area 3160,Mixed Use,Active,Sale,1040000.0,5200.0,,,200.0,135.0,47.9,52.0,1974.0,False,,MIXED USE COMM,48672.0,0.0468,0.0675,721067.0,44.2,$1–2.5M
A11865042,1200 S Federal Hwy,Area 3480,Retail,Active,Sale,710000.0,1833.0,,,387.0,413.0,-6.2,62.0,1964.0,False,,B-1,30253.0,0.0426,0.0675,448197.0,58.4,< $1M
F10541521,1536 NW 6th Street,Area 3460,Mixed Use,Active,Sale,675000.0,4680.0,,,144.0,181.0,-20.3,65.0,1961.0,False,,NWRAC-MUw,43805.0,0.0649,0.0675,648960.0,4.0,< $1M
A11953210,2455 E Sunrise Blvd Unit#CU9J,Area 3260,Office,Active,Sale,320000.0,13263.0,,,24.0,103.0,-76.7,18.0,2008.0,False,,B-1,210815.0,0.6588,0.08,2635192.0,-87.9,< $1M
F10513760,101-105 SE 26 Street,Area 3570,Multifamily,Active,Sale,4000000.0,18898.0,,,212.0,178.0,18.9,51.0,1975.0,False,,,185457.0,0.0464,0.055,3371953.0,18.6,$2.5–5M
A11879773,929 NE 17th Way,Area 3370,Special Purpose,Active,Sale,3995000.0,20250.0,,,197.0,172.0,14.9,,,False,,RMM-25,265072.0,0.0664,0.075,3534300.0,13.0,$2.5–5M
A11922150,637 NE 4th Ave,Area 3810,Multifamily,Active,Sale,3749000.0,6750.0,,,555.0,408.0,36.2,3.0,2023.0,False,,RAC-UV,66242.0,0.0177,0.055,1204396.0,211.3,$2.5–5M
A11960453,201 SW 21st St,Area 3500,Industrial,Active,Sale,3495000.0,20827.0,,,168.0,175.0,-4.1,67.0,1959.0,False,15.0,RM-15,201814.0,0.0577,0.0625,3229018.0,8.2,$2.5–5M
A11966949,1111 SW 4th St,Area 3470,Multifamily,Active,Sale,2940000.0,17500.0,,,168.0,148.0,13.4,50.0,1976.0,False,,RML-25,171738.0,0.0584,0.055,3122509.0,-5.8,$2.5–5M
F10391933,3001 NE 6 Avenue,Area 3370,Mixed Use,Active,Sale,2800000.0,11761.0,,,238.0,164.0,44.9,69.0,1957.0,False,,tocw,110083.0,0.0393,0.0675,1630859.0,71.7,$2.5–5M
F10506407,431 NW 1st Avenue,Area 3810,Commercial (other),Active,Sale,5000000.0,6375.0,,,784.0,432.0,81.6,,,False,,RAC-UV,86394.0,0.0173,0.07,1234200.0,305.1,$5–10M
F10547944,815 NE 13th Street,Area 3380,Commercial (other),Active,Sale,4900000.0,13525.0,,,362.0,276.0,31.3,65.0,1961.0,False,,CB,183291.0,0.0374,0.07,2618440.0,87.1,$2.5–5M
