mls,address,submarket,asset_type,status,price,sqft,ppsf,pred_ppsf,ppsf_gap_pct,assumed_value,income_gap_pct
F10530033,724-730 3rd Avenue,Area 3270,Multifamily,Expired,2734375.0,15625.0,175.0,197.0,-11.0,2787955.0,-1.9
A11657946,821 NE 18th Ct Unit#1-5,Area 3370,Multifamily,Expired,2000000.0,8540.0,234.0,263.0,-11.0,1523784.0,31.3
F10529942,1230 SE 4th Avenue,Area 3800,Mixed Use,Expired,1250000.0,7393.0,169.0,192.0,-12.1,1025163.0,21.9
A11637888,848 NW 2nd Ave,Area 3460,Multifamily,Expired,1175000.0,6750.0,174.0,201.0,-13.4,1204396.0,-2.4
A11773250,412 SE 23rd St,Area 3600,Office,Expired,1195000.0,6749.0,177.0,206.0,-13.9,1340942.0,-10.9
F10463900,2905 NE 6th Avenue,Area 3370,Commercial (other),Expired,3600000.0,30093.0,120.0,139.0,-14.0,5826005.0,-38.2
F10447022,200-204 NW 17th Court Unit#1-8,Area 3390,Multifamily,Cancelled,1950000.0,8518.0,229.0,272.0,-15.8,1519859.0,28.3
A11753988,1415 SW 1 ST Unit#1-8,Area 3470,Multifamily,Expired,1895000.0,13802.0,137.0,168.0,-18.3,2462678.0,-23.1
A11582220,1227 South Andrews Ave,Area 3500,Mixed Use,Expired,1090000.0,6250.0,174.0,214.0,-18.5,866667.0,25.8
F10483251,2648 NE 32nd Street,Area 3250,Hotel,Expired,4500000.0,20004.0,225.0,277.0,-18.9,6260075.0,-28.1
A11934425,426 NW 14th Ave Unit#1-8,Area 3460,Multifamily,Expired,1425000.0,11865.0,120.0,149.0,-19.3,2117061.0,-32.7
A11706192,848 NW 2nd Ave,Area 3460,Multifamily,Expired,1095000.0,6750.0,162.0,201.0,-19.3,1204396.0,-9.1
F10531419,1650 NE 26th Street,Area 3280,Commercial (other),Expired,2500000.0,15003.0,167.0,208.0,-19.9,2904581.0,-13.9
F10523632,1700 NE 5 Street,Area 3270,Commercial (other),Expired,2295000.0,13107.0,175.0,223.0,-21.6,2537515.0,-9.6
F10432650,2133 N Dixie Highway,Area 3370,Commercial (other),Expired,1700000.0,7497.0,227.0,291.0,-22.1,1451419.0,17.1
F10395763,1100 NE 18th Court,Area 3370,Multifamily,Expired,1800000.0,9167.0,196.0,253.0,-22.4,1635659.0,10.0
F10428676,325 NW 25 Street,Area 3390,Multifamily,Expired,2179449.0,13220.0,165.0,215.0,-23.3,2358833.0,-7.6
A11748832,848 NW 2nd Ave,Area 3460,Multifamily,Expired,1039000.0,6750.0,154.0,201.0,-23.4,1204396.0,-13.7
A11716543,2455 E Sunrise Blvd Unit#CU9K-CU9M-CU9L,Area 3300,Office,Expired,750000.0,6624.0,113.0,149.0,-24.0,1316106.0,-43.0
A11626291,2455 E Sunrise Blvd Unit#CU9K-CU9M-CU9L,Area 3350,Office,Expired,750000.0,6624.0,113.0,149.0,-24.0,1316106.0,-43.0
F10539676,2648 NE 32nd Street,Area 3250,Hotel,Expired,4200000.0,20004.0,210.0,277.0,-24.3,6260075.0,-32.9
F10453687,1210 NE 15th Street Unit#22,Area 3270,Commercial (other),Expired,824250.0,1568.0,526.0,695.0,-24.4,303565.0,171.5
F10491389,526 NW 15th Way,Area 3460,Multifamily,Expired,1300000.0,11300.0,115.0,153.0,-24.6,2016249.0,-35.5
A11891960,1026 NW 9th Ave,Area 3424,Retail,Expired,1050000.0,6751.0,156.0,206.0,-24.7,1650725.0,-36.4
