address,asset_type,submarket,status,last_ask,value,implied_cap,lease_psf,comp_ppsf,opener
2826 E Oakland Park Blvd,Office,Area 3250,Expired,2850000.0,1051000.0,0.0419,17.0,140,"Hi, I saw 2826 E Oakland Park Blvd came off the market — I cover Oakland Park Blvd. Office around here is trading near $140/SF and leasing around $17/SF. I think it can be positioned to actually sell — got two minutes?"
2625 NE 13th Ct,Multifamily,Area 3260,Expired,2850000.0,2880000.0,0.047,15.4,211,"Hi, I saw 2625 NE 13th Ct came off the market — I cover Sunrise Blvd · Oakland Park Blvd. Multifamily around here is trading near $211/SF and leasing around $15/SF. I think it can be positioned to actually sell — got two minutes?"
533 NE 13th Street,Commercial (other),Area 3380,Expired,2850000.0,3855000.0,0.0689,26.5,266,"Hi, I saw 533 NE 13th Street came off the market — I cover Wilton Dr · Federal Hwy. Commercial around here is trading near $266/SF and leasing around $26/SF. I think it can be positioned to actually sell — got two minutes?"
2826 E Oakland Park Blvd,Office,Area 30,Withdrawn,2800000.0,1043000.0,0.0426,17.0,139,"Hi, I saw 2826 E Oakland Park Blvd came off the market — I cover Oakland Park Blvd. Office around here is trading near $139/SF and leasing around $17/SF. I think it can be positioned to actually sell — got two minutes?"
92 Hendricks Isle,Multifamily,Area 3280,Cancelled,2750000.0,2000000.0,,15.4,320,"Hi, I saw 92 Hendricks Isle came off the market — I cover Sunrise Blvd · Las Olas Blvd. Multifamily around here is trading near $320/SF and leasing around $15/SF. I think it can be positioned to actually sell — got two minutes?"
15 NW 9th Ave,Industrial,Area 3470,Expired,2750000.0,1939000.0,,19.4,277,"Hi, I saw 15 NW 9th Ave came off the market — I cover Davie Blvd · Las Olas Blvd. Industrial around here is trading near $277/SF and leasing around $19/SF. I think it can be positioned to actually sell — got two minutes?"
114 NW 25th Street,Multifamily,Area 3390,Expired,2750000.0,4783000.0,0.1434,15.4,119,"Hi, I saw 114 NW 25th Street came off the market — I cover Oakland Park Blvd · SE 17th St. Multifamily around here is trading near $119/SF and leasing around $15/SF. I think it can be positioned to actually sell — got two minutes?"
2010 Wilton Dr,Restaurant,Area 3380,Expired,2750000.0,2165000.0,0.0688,22.6,272,"Hi, I saw 2010 Wilton Dr came off the market — I cover Wilton Dr · Federal Hwy. Restaurant/bar around here is trading near $272/SF and leasing around $23/SF. I think it can be positioned to actually sell — got two minutes?"
724-730 3rd Avenue,Multifamily,Area 3270,Expired,2734375.0,3078000.0,0.0561,15.4,197,"Hi, I saw 724-730 3rd Avenue came off the market — I cover Sunrise Blvd. Multifamily around here is trading near $197/SF and leasing around $15/SF. I think it can be positioned to actually sell — got two minutes?"
1122 W Broward Boulevard,Retail,Area 3470,Expired,2650000.0,1197000.0,0.049,28.0,152,"Hi, I saw 1122 W Broward Boulevard came off the market — I cover Davie Blvd · Las Olas Blvd. Retail around here is trading near $152/SF and leasing around $28/SF. I think it can be positioned to actually sell — got two minutes?"
2502 NE 6th Avenue,Commercial (other),Area 3370,Expired,2649000.0,2014000.0,0.032,26.5,322,"Hi, I saw 2502 NE 6th Avenue came off the market — I cover Dixie Hwy · Oakland Park Blvd. Commercial around here is trading near $322/SF and leasing around $26/SF. I think it can be positioned to actually sell — got two minutes?"
